product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000780,IND010,配戴隱形眼鏡時用以預防乾燥感、異物感、搔癢感、霧視及眼睛疲勞。,keyword_rule_v1,SRC001,true
P000781,IND003,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000781,IND010,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000781,IND011,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000782,IND999,降低眼壓,keyword_rule_v1,SRC001,false
P000783,IND999,降低眼壓,keyword_rule_v1,SRC001,false
P000784,IND003,結膜炎、瞼緣炎、瞼腺炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000785,IND010,眼睛疲勞、暫時緩解因輕微眼部刺激所引起之不適或眼睛紅。,keyword_rule_v1,SRC001,true
P000786,IND004,青光眼、高眼壓,keyword_rule_v1,SRC001,true
P000787,IND004,青光眼、高眼壓,keyword_rule_v1,SRC001,true
P000788,IND003,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000788,IND010,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000788,IND011,眼睛疲勞、結膜充血、眼瞼緣炎、受紫外線或其他光線影響而引起之眼炎,keyword_rule_v1,SRC001,true
P000789,IND003,急慢性結膜炎、眼瞼緣炎、虹膜睫狀體炎、眼瞼緣潰瘍、鞏膜炎、鞏膜結合膜炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000789,IND005,急慢性結膜炎、眼瞼緣炎、虹膜睫狀體炎、眼瞼緣潰瘍、鞏膜炎、鞏膜結合膜炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000790,IND012,老年性白內障、外傷性白內障,keyword_rule_v1,SRC001,true
P000791,IND004,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000791,IND015,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000792,IND004,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000792,IND015,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000793,IND999,急慢性外耳炎,keyword_rule_v1,SRC001,false
P000794,IND003,結膜炎、眼瞼炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000795,IND999,急慢性外耳炎、中耳炎,keyword_rule_v1,SRC001,false
P000796,IND003,細菌性感染之眼疾患：結合膜炎、淚囊炎、角膜炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000796,IND005,細菌性感染之眼疾患：結合膜炎、淚囊炎、角膜炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000797,IND003,結膜炎、眼瞼炎、角膜潰瘍,keyword_rule_v1,SRC001,true
P000798,IND003,表淺性單純？疹角膜感染一樹形角膜炎（ＤＥＮＤＲＩＴＩＣ　ＫＥＲＡＴＩＴＩＳ）預防用ＣＯＲＴＩＣＯＩＤ治療盤狀角膜炎（ＫＥＲＡＴＩＴＩＳ　ＤＩＳＣＩＦＯＲＭＩＳ）時之複發性感染、疫苗性角膜感染,keyword_rule_v1,SRC001,true
