product_substance_id,product_id,substance_id,raw_name,standardized_name,chinese_name,english_name,salt_ester_hydrate_form,base_substance_group,amount_raw,amount,unit,role,formulation_function,role_assignment_method,source_id,confirmed
PS-P001022-001,P001022,S00115,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE,22.26,22.260000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001023-001,P001023,S00328,TETRAHYDROZOLINE HCL,TETRAHYDROZOLINE HCL,,TETRAHYDROZOLINE HCL,TETRAHYDROZOLINE HCL,TETRAHYDROZOLINE,0.50,0.500000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001023-002,P001023,S00257,POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,,POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,10.00,10.000000,MG,other_excipient,其他賦形劑,rule_based,SRC002,false
PS-P001024-001,P001024,S00082,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),CROMOGLICIC ACID,20.0,20.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001025-001,P001025,S00247,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,,1.250000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001026-001,P001026,S00137,FLUORESCEIN SODIUM (URANIN)(URANIN YELLOW),FLUORESCEIN SODIUM (URANIN)(URANIN YELLOW),,FLUORESCEIN SODIUM (URANIN)(URANIN YELLOW),FLUORESCEIN SODIUM (URANIN)(URANIN YELLOW),FLUORESCEIN SODIUM,20,20.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001027-001,P001027,S00263,POLYVINYL ALCOHOL,POLYVINYL ALCOHOL,,POLYVINYL ALCOHOL,POLYVINYL ALCOHOL,POLYVINYL ALCOHOL,14.00,14.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001027-002,P001027,S00271,POVIDONE CL,POVIDONE CL,,POVIDONE CL,POVIDONE CL,POVIDONE CL,6.00,6.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001155-001,P001155,S00200,LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE,,LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE,,2.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-001,P001156,S00226,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,,0.020000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-002,P001156,S00066,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE,,0.200000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-003,P001156,S00134,FLAVINEADENINE DINUCLEOTIDE SODIUM,FLAVINEADENINE DINUCLEOTIDE SODIUM,,FLAVINEADENINE DINUCLEOTIDE SODIUM,FLAVINEADENINE DINUCLEOTIDE SODIUM,FLAVINEADENINE DINUCLEOTIDE SODIUM,,0.500000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-004,P001156,S00338,TOCOPHEROL ACETATE ALPHA D-,TOCOPHEROL ACETATE ALPHA D-,,TOCOPHEROL ACETATE ALPHA D-,TOCOPHEROL ACETATE ALPHA D-,TOCOPHEROL ACETATE ALPHA D-,,0.300000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-005,P001156,S00009,AMINOETHYLSULFONIC ACID,AMINOETHYLSULFONIC ACID,,AMINOETHYLSULFONIC ACID,AMINOETHYLSULFONIC ACID,TAURINE,,10.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001156-006,P001156,S00069,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE,,1.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001157-001,P001157,S00254,PILOCARPINE HCL,PILOCARPINE HCL,,PILOCARPINE HCL,PILOCARPINE HCL,PILOCARPINE,,10.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001157-002,P001157,S00334,TIMOLOL MALEATE,TIMOLOL MALEATE,,TIMOLOL MALEATE,TIMOLOL MALEATE,TIMOLOL,,5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
