product_id,license_number,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,ophthalmic_inclusion_evidence,legal_category,therapeutic_class,applicant,manufacturer,indication_raw,license_status,license_expiry_date,status_checked_at,default_include_in_search,default_include_in_statistics,preservative_free_status,preservative_free_evidence,source_id,verified_at
P000882,衛署藥輸字第018244號,歐伏泰順點眼液,OPHTAGRAM EYE DROPS,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,gentamicin,吉富貿易有限公司,LABORATOIRE CHAUVIN S.A.,對ＧＥＮＴＡＭＹＣＩＮ有效之眼部細菌性感染、角膜或結膜異物、物理或化學物質引起之創傷、眼部外科手術,註銷,2004/08/11,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000883,衛署藥輸字第018283號,復喜克眼用液劑,FUCITHALMIC VISCOUS EYE DROPS,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,禾利行股份有限公司,LEO LABORATORIES LIMITED | LEO PHARMACEUTICAL PRODUCTS,細菌性結膜炎、角膜炎,註銷,2005/09/25,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000884,衛署藥輸字第018333號,〝愛爾康比利時廠〞拂炎眼用懸浮液,FLAREX 0.1% STERILE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,fluorometholone,瑞士商愛爾康大藥廠股份有限公司台灣分公司,S.A. ALCON-COUVREUR N.V.,眼瞼炎、結膜炎、角膜炎、鞏膜炎、上鞏膜炎、虹彩炎、虹彩毛樣體炎,註銷,2015/11/19,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000885,衛署藥輸字第018364號,護眼康眼用懸浮液〝愛爾康比利時廠〞,FLUCON 0.1% STERILE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,fluorometholone,瑞士商愛爾康大藥廠股份有限公司台灣分公司,S.A. ALCON-COUVREUR N.V.,眼瞼炎，結膜炎，角膜炎，鞏膜炎，上鞏膜炎，虹彩炎，虹彩毛樣體炎,註銷,2020/12/05,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000886,衛署藥輸字第018368號,目滴舒眼軟膏〝美國愛爾康比利時分廠〞,MAXIDEX OINTMENT,點眼膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,dexamethasone,瑞士商愛爾康大藥廠股份有限公司台灣分公司,S.A. ALCON-COUVREUR N.V.,虹膜炎、睫狀體炎、角膜炎、結膜炎、眼瞼炎、鞏膜炎。,註銷,2020/12/05,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000887,衛署藥輸字第018385號,視安易賜眼藥水,SWAN EYE DROPS-S,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須經醫師指示使用,Other ophthalmologicals,大陞股份有限公司,KYORIN RIMEDIO CO. LTD.,眼瞼緣炎、眼睛疲勞、結膜充血、淚囊炎、眼炎,註銷,2009/04/04,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000888,衛署藥輸字第018397號,廣貫堂眼藥水,AIGAN E EYE LOTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,醫師藥師藥劑生指示藥品,Other antiallergics,元氣堂呂貿易有限公司,"HEAD PLANT, SHINSHIN PHARMACEUTICAL CO., LTD | KOKANDO CO., LTD. | SHINJO PLANT, TEIKA PHARMACEUTICAL CO., LTD.",眼睛疲勞、眼睛癢，暫時緩解因輕微眼部刺激所引起之不適、或眼睛紅。,註銷,2014/05/18,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000889,衛署藥輸字第018431號,健眼明眼藥水,NEOMYCIN-POLYMIXIN-HYDROCORTISONE EYE DROPS,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,萬聯貿易有限公司,ASTRAPIN PHARMAZEUTISCHE PRAPARATE DR. KLAUS HOFFMANN GMBH & CO. KG.,因細菌感染所引起之眼睛發炎及過敏。,註銷,1996/01/15,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000890,衛署藥輸字第018456號,視都普眼用懸浮液〝愛爾康比利時廠〞,ISOPTO CETAPRED STERILE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,prednisolone and antiinfectives,瑞士商愛爾康大藥廠股份有限公司台灣分公司,S.A. ALCON-COUVREUR N.V.,適用於對類固醇有效應之眼睛發炎症狀及己遭細菌或有細菌感染可能之眼疾。,註銷,2011/02/06,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000891,衛署藥輸字第018491號,優活眼藥水,UNIVER EYE LOTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,吉宮貿易有限公司,MEIJI YAKUHIN CO. LTD.,結膜炎、角膜炎、結膜充血、眼瞼緣炎、淚囊炎,註銷,1993/06/16,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
