material_original,suggested_normalized,reason,product_count,product_licenses
凡士林加至,凡士林加至,無法由官方處方原文可靠判斷材料或其分類,3,衛部成製字第017034號|衛部成製字第017035號|衛部成製字第017036號
沙拉油加至,沙拉油加至,無法由官方處方原文可靠判斷材料或其分類,1,衛署成製字第014495號
木?子,木?子,無法由官方處方原文可靠判斷材料或其分類,2,衛署成製字第014982號|衛署成製字第015773號
以上生藥製成浸膏24.925mg(生藥與浸膏比例104:24.925=4.17:1),以上生藥製成浸膏24.925mg(生藥與浸膏比例104:24.925=4.17:1),無法由官方處方原文可靠判斷材料或其分類,1,衛部成製字第017068號
胡麻油加至,胡麻油加至,無法由官方處方原文可靠判斷材料或其分類,2,衛署成製字第014057號|衛部成製字第016654號
橡膠加至,橡膠加至,無法由官方處方原文可靠判斷材料或其分類,1,衛部成製字第016729號
樹脂(水性基劑)加至1g(含量見背面),樹脂(水性基劑)加至1g(含量見背面),無法由官方處方原文可靠判斷材料或其分類,1,衛署成製字第014711號
麻油加至1gm,麻油加至1gm,無法由官方處方原文可靠判斷材料或其分類,2,衛署成製字第014224號|衛署成製字第014343號
廣膠加至,廣膠加至,無法由官方處方原文可靠判斷材料或其分類,1,衛署成製字第001293號
全量加至,全量加至,無法由官方處方原文可靠判斷材料或其分類,1,衛署成製字第004434號
以上生藥製成浸膏,以上生藥製成浸膏,無法由官方處方原文可靠判斷材料或其分類,3,衛署藥製字第047969號|衛署藥製字第048017號|衛署藥製字第048117號
純水加至,純水加至,無法由官方處方原文可靠判斷材料或其分類,1,衛署藥製字第048117號
豬脂加至,豬脂加至,無法由官方處方原文可靠判斷材料或其分類,1,衛署藥製字第049686號
