product_id,indication_id,source_id
oral_liquid_00091,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00092,ind_x,tfda_open_data_info37_cached_20260711
oral_liquid_00093,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00094,ind_a_d,tfda_open_data_info37_cached_20260711
oral_liquid_00095,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00096,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00097,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00098,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00099,ind_portal_systemic_encephalopathy_hepatic_precoma_hepatic_coma,tfda_open_data_info37_cached_20260711
oral_liquid_00100,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00101,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00102,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00103,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00104,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00105,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00106,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00107,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00108,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00109,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00110,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00111,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00112,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00113,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00114,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00115,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00116,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00117,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00118,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00119,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00120,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00121,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00122,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00123,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00124,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00125,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00126,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00127,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00128,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00129,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00130,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00131,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00132,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00133,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00134,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00135,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00136,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00137,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00138,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00139,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00140,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00141,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00142,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00143,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00144,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00145,ind_1_2,tfda_open_data_info37_cached_20260711
