product_id,substance_id,raw_name,normalized_name,base_substance_group,strength_raw,numerator_value,numerator_unit,denominator_value,denominator_unit,display_concentration,normalized_value_per_ml,concentration_normalized,normalization_status,concentration_status,parsing_rule,confidence,role,confirmation_status,source_id
oral_liquid_00003,sub_tfda_8811200300,CYANOCOBALAMIN (VIT B12),cyanocobalamin (vit b12),cyanocobalamin (vit b12),EACH 100ML CONTAINS: CYANOCOBALAMIN (VIT B12) 5 MCG,5,mcg,100,mL,5 mcg/100 mL,0.05,0.05 mcg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00003,sub_tfda_8810000300,NIACINAMIDE (NICOTINAMIDE),niacinamide (nicotinamide),niacinamide (nicotinamide),EACH 100ML CONTAINS: NIACINAMIDE (NICOTINAMIDE) 20 MG,20,mg,100,mL,20 mg/100 mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00003,sub_tfda_8416000700,PANTHENOL,panthenol,panthenol,EACH 100ML CONTAINS: PANTHENOL 10 MG,10,mg,100,mL,10 mg/100 mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00004,sub_tfda_0400001610,DIPHENHYDRAMINE HCL,diphenhydramine hcl,diphenhydramine hcl,EACH 100ML CONTAINS: DIPHENHYDRAMINE HCL 0.28 GM,0.28,g,100,mL,0.28 g/100 mL,0.0028,0.0028 g/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00004,sub_tfda_4004000200,AMMONIUM CHLORIDE,ammonium chloride,ammonium chloride,EACH 100ML CONTAINS: AMMONIUM CHLORIDE 2.74 GM,2.74,g,100,mL,2.74 g/100 mL,0.0274,0.0274 g/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00005,sub_tfda_0400005810,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),cetirizine dihydrochloride (eq to cetirizine 2hcl ),cetirizine dihydrochloride (eq to cetirizine 2hcl ),Each mL contains: CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ) 1.000000 MG,1,mg,1,mL,1 mg/mL,1,1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00006,sub_tfda_4800001010,DEXTROMETHORPHAN HBR,dextromethorphan hbr,dextromethorphan hbr,EACH ML CONTAINS: DEXTROMETHORPHAN HBR 2.5 MG,2.5,mg,1,mL,2.5 mg/mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00006,sub_tfda_4800003700,POTASSIUM CRESOLSULFONATE,potassium cresolsulfonate,potassium cresolsulfonate,EACH ML CONTAINS: POTASSIUM CRESOLSULFONATE 15 MG,15,mg,1,mL,15 mg/mL,15,15 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_8813000100,INOSITOL (MESO-INOSITOL),inositol (meso-inositol),inositol (meso-inositol),EACH 100ML CONTAINS: INOSITOL (MESO-INOSITOL) 20 MG,20,mg,100,mL,20 mg/100 mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_5656900720,THIOCTIC ACID AMIDE (THIOCTAMIDE),thioctic acid amide (thioctamide),thioctic acid amide (thioctamide),EACH 100ML CONTAINS: THIOCTIC ACID AMIDE (THIOCTAMIDE) 10 MG,10,mg,100,mL,10 mg/100 mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
