substance_id,raw_name,normalized_name,base_substance_group,source_id
sub_tfda_4800001020,DEXTROMETHORPHAN HCL,dextromethorphan hcl,dextromethorphan hcl,tfda_open_data_info43_cached_20260711
sub_tfda_4010000300,LACTULOSE,lactulose,lactulose,tfda_open_data_info43_cached_20260711
sub_tfda_0400092410,KETOTIFEN (FUMARATE),ketotifen (fumarate),ketotifen (fumarate),tfda_open_data_info43_cached_20260711
sub_tfda_4800000310,BROMHEXINE HCL,bromhexine hcl,bromhexine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_2812001700,GABAPENTIN,gabapentin,gabapentin,tfda_open_data_info43_cached_20260711
sub_tfda_5622000400,DIMENHYDRINATE,dimenhydrinate,dimenhydrinate,tfda_open_data_info43_cached_20260711
sub_tfda_2808800622,MORPHINE SULFATE,morphine sulfate,morphine sulfate,tfda_open_data_info43_cached_20260711
sub_tfda_4800000410,BUTAMIRATE CITRATE,butamirate citrate,butamirate citrate,tfda_open_data_info43_cached_20260711
sub_tfda_2820003700,LEVETIRACETAM,levetiracetam,levetiracetam,tfda_open_data_info43_cached_20260711
sub_tfda_4012004000,SODIUM HYPOPHOSPHITE,sodium hypophosphite,sodium hypophosphite,tfda_open_data_info43_cached_20260711
sub_tfda_0820000630,QUININE SULFATE,quinine sulfate,quinine sulfate,tfda_open_data_info43_cached_20260711
sub_tfda_9200018080,CAPSICUM TINCTURE,capsicum tincture,capsicum tincture,tfda_open_data_info43_cached_20260711
sub_tfda_8408000100,CAMPHOR,camphor,camphor,tfda_open_data_info43_cached_20260711
sub_tfda_9690007500,ACETUM SCILLAE,acetum scillae,acetum scillae,tfda_open_data_info43_cached_20260711
sub_tfda_9200016031,TINCTURE CARDAMON COMPOUND,tincture cardamon compound,tincture cardamon compound,tfda_open_data_info43_cached_20260711
sub_tfda_9600001805,ALMOND OIL,almond oil,almond oil,tfda_open_data_info43_cached_20260711
sub_tfda_4800002410,NOSCAPINE HCL,noscapine hcl,noscapine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_8600001010,ETHAVERINE HCL (eq to BALBONIN) (eq to Ethylpapaverine HCl),ethaverine hcl (eq to balbonin) (eq to ethylpapaverine hcl),ethaverine hcl (eq to balbonin) (eq to ethylpapaverine hcl),tfda_open_data_info43_cached_20260711
sub_tfda_8810100900,THIAMINE HYDROCHLORIDE,thiamine hydrochloride,thiamine hydrochloride,tfda_open_data_info43_cached_20260711
sub_tfda_8812300200,PANTOTHENATE CALCIUM,pantothenate calcium,pantothenate calcium,tfda_open_data_info43_cached_20260711
sub_tfda_9200000900,TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID),taurine (eq to 2-aminoethane sulfonic acid),taurine (eq to 2-aminoethane sulfonic acid),tfda_open_data_info43_cached_20260711
sub_tfda_9600017803,MALIC ACID DL-,malic acid dl-,malic acid dl-,tfda_open_data_info43_cached_20260711
sub_tfda_8804000100,VITAMIN A,vitamin a,vitamin a,tfda_open_data_info43_cached_20260711
sub_tfda_8818000200,ERGOCALCIFEROL (VIT D2CALCIFEROL),ergocalciferol (vit d2calciferol),ergocalciferol (vit d2calciferol),tfda_open_data_info43_cached_20260711
sub_tfda_8810200600,RIBOFLAVIN PHOSPHATE,riboflavin phosphate,riboflavin phosphate,tfda_open_data_info43_cached_20260711
sub_tfda_4020101312,LYSINE L- HCL ( EQ TO L-LYSINE HCL),lysine l- hcl ( eq to l-lysine hcl),lysine l- hcl ( eq to l-lysine hcl),tfda_open_data_info43_cached_20260711
sub_tfda_1212000510,EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE),ephedrine hcl (eq to ephedrine hydrochloride),ephedrine hcl (eq to ephedrine hydrochloride),tfda_open_data_info43_cached_20260711
sub_tfda_4800003801,POLYGALA EXTRACT,polygala extract,polygala extract,tfda_open_data_info43_cached_20260711
sub_tfda_2808600900,ETHENZAMIDE (ETHOXYBENZAMIDE),ethenzamide (ethoxybenzamide),ethenzamide (ethoxybenzamide),tfda_open_data_info43_cached_20260711
sub_tfda_8810209700,RIBOFLAVIN(5-PHOSPHATE SODIUM),riboflavin(5-phosphate sodium),riboflavin(5-phosphate sodium),tfda_open_data_info43_cached_20260711
sub_tfda_8812300300,SODIUM PANTOTHENATE,sodium pantothenate,sodium pantothenate,tfda_open_data_info43_cached_20260711
sub_tfda_4020100450,ASPARTATE POTASSIUM MAGNESIUM,aspartate potassium magnesium,aspartate potassium magnesium,tfda_open_data_info43_cached_20260711
sub_tfda_8416000701,PANTHENOL D- (EQ TO D-PANTHENOL),panthenol d- (eq to d-panthenol),panthenol d- (eq to d-panthenol),tfda_open_data_info43_cached_20260711
sub_tfda_0808001520,PIPERAZINE CITRATE,piperazine citrate,piperazine citrate,tfda_open_data_info43_cached_20260711
sub_tfda_4020100000,AMINO ACID,amino acid,amino acid,tfda_open_data_info43_cached_20260711
sub_tfda_8811600100,FOLIC ACID,folic acid,folic acid,tfda_open_data_info43_cached_20260711
sub_tfda_2004800800,LIVER CONC.,liver conc.,liver conc.,tfda_open_data_info43_cached_20260711
sub_tfda_9200016000,CARDAMON,cardamon,cardamon,tfda_open_data_info43_cached_20260711
sub_tfda_4800003100,SQUILL (SCILLAE),squill (scillae),squill (scillae),tfda_open_data_info43_cached_20260711
sub_tfda_2812001330,SODIUM VALPROATE,sodium valproate,sodium valproate,tfda_open_data_info43_cached_20260711
sub_tfda_1013007500,Larotrectinib,larotrectinib,larotrectinib,tfda_open_data_info43_cached_20260711
sub_tfda_8810100500,THIAMINE (VITAMIN B1),thiamine (vitamin b1),thiamine (vitamin b1),tfda_open_data_info43_cached_20260711
sub_tfda_4020001700,SUCROSE (SUGAR REFINED),sucrose (sugar refined),sucrose (sugar refined),tfda_open_data_info43_cached_20260711
sub_tfda_9600029600,SORBITOL,sorbitol,sorbitol,tfda_open_data_info43_cached_20260711
sub_tfda_9200001700,CITRIC ACID,citric acid,citric acid,tfda_open_data_info43_cached_20260711
sub_tfda_2816100300,HALOPERIDOL,haloperidol,haloperidol,tfda_open_data_info43_cached_20260711
sub_tfda_0400000610,CARBINOXAMINE MALEATE,carbinoxamine maleate,carbinoxamine maleate,tfda_open_data_info43_cached_20260711
