license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛部藥輸字第026619號,欣瘤伏 長效緩釋注射劑20毫克,Signifor LAR 20mg powder and solvent for suspension for injection,乾粉注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第026620號,欣瘤伏長效緩釋注射劑40毫克,Signifor LAR 40mg powder and solvent for suspension for injection,乾粉注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047442號,"""大豐"" 護胃治定注射液10毫克/毫升(發模梯定)","FAMOSTER INJECTION 10MG/ML ""T.F."" (FAMOTIDINE)",注射劑,如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047551號,"""信東"" 克痛解注射液30 毫克/毫升",Laston Injection 30 mg/ml (Ketorolac Tromethamine),注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047552號,"""汎生"" 柔比信注射液 (2毫克/毫升)","Panbicin Injection 2mg/ml ""Panbiotic""",注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047559號,力化肝注射液,Liphargen Injection,注射劑,本藥限由醫師處方使用。通常成人1日1次，5-20ML靜脈注射。用量可依年齡、症狀適當的增減。對於慢性肝疾患者1日1次，40-60ML靜脈注射或點滴靜脈注射，用量可依年齡、症狀適當的增減。但增量時，1日以100ML為限。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047596號,得美膚軟膏,Dermofute Ointment,軟膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047621號,克廢喦注射液 10毫克/毫升,Covorin Injection 10mg/mL,注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047625號,喜膚能軟膏0.1%,Momesone Ointment 0.1%,軟膏劑,詳如仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047642號,"""皇佳""伊思倍麗凝膠0.1%","Acnely gel 0.1% ""Royal""",外用凝膠劑,詳如仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047678號,痛諾伏注射液15毫克/毫升,Painoff Injection 15mg/ml,注射劑,如仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047692號,喜膚能乳膏0.1%W/W,Momesone Cream 0.1% W/W,乳膏劑,詳如仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047829號,妥皮乳膏,Terbin Cream,乳膏劑,如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047833號,婦美寧陰道用凝膠0.75%,Formenin Vaginal Gel 0.75%,陰道用凝膠劑,每天1-2次，連續5天，將陰道凝膠置入陰道內。以所附之施藥器填滿約5公克(含主成分37.5mg)，插入陰道內輕推柱塞到底。尚可塗於陰戶周圍，以達殺菌療效。本藥須由醫師處方使用。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
