product_id,indication_id,source_id,verified_at
supp_0001,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0002,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0003,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0004,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0005,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0006,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0007,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0008,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0009,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0010,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0011,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0012,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0013,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0014,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0015,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0016,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0017,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0018,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0019,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0020,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0021,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0022,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0023,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0024,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0025,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0026,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0027,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0028,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0029,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0030,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0031,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0032,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0033,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0034,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0035,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0036,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0037,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0038,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0039,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0040,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0041,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0042,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0043,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0044,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0045,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0046,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0047,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0048,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0049,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0050,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0051,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0052,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0053,ind_unknown,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
