review_id,license_number,product_id,issue_type,raw_value,standard_value,source,reason
review_unknown_0027,衛署藥製字第037677號,eye_formal_305,unknown_substance_role,SORBIC ACID,sorbic acid,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0028,內衛藥製字第001905號,eye_formal_306,unknown_substance_role,PANTOTHENYL ALCOHOL D-,pantothenyl alcohol d-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0029,衛署藥輸字第025644號,eye_formal_311,unknown_substance_role,RETINOL PALMITATE,retinol palmitate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0030,衛署藥輸字第025666號,eye_formal_313,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0031,衛署藥輸字第024644號,eye_formal_316,unknown_substance_role,AMINOETHYLSULFONIC ACID,aminoethylsulfonic acid,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0032,衛署藥輸字第025769號,eye_formal_319,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0033,衛署藥製字第022473號,eye_formal_331,unknown_substance_role,SODIUM BORATE DECAHYDRATE (BORAX),sodium borate decahydrate (borax),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0034,衛署藥製字第022473號,eye_formal_331,unknown_substance_role,BENZALKONIUM CHLORIDE,benzalkonium chloride,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0035,衛部藥輸字第027549號,eye_formal_338,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0036,衛部藥輸字第027549號,eye_formal_338,unknown_substance_role,DL-ALPHA-TOCOPHERYL ACETATE,dl-alpha-tocopheryl acetate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0037,衛部藥輸字第027567號,eye_formal_341,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0038,衛部藥輸字第027567號,eye_formal_341,unknown_substance_role,RETINOL PALMITATE,retinol palmitate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0039,衛部藥輸字第027573號,eye_formal_342,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0040,衛部藥輸字第027573號,eye_formal_342,unknown_substance_role,RETINOL PALMITATE,retinol palmitate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0041,衛部藥輸字第027587號,eye_formal_343,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0042,衛部藥輸字第027697號,eye_formal_351,unknown_substance_role,HYDROXYETHYLCELLULOSE,hydroxyethylcellulose,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0043,衛部藥輸字第026524號,eye_formal_366,unknown_substance_role,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),sodium bicarbonate ( eq to sodium hydrogen carbonate),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0044,衛署藥輸字第024266號,eye_formal_371,unknown_substance_role,BENZALKONIUM CHLORIDE,benzalkonium chloride,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0045,衛部藥輸字第027929號,eye_formal_374,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0046,衛部藥輸字第026773號,eye_formal_376,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0047,衛部藥製字第059284號,eye_formal_381,unknown_substance_role,HYDROXYPROPYL METHYLCELLULOSE (EQ TO HPMC),hydroxypropyl methylcellulose (eq to hpmc),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0048,衛署藥製字第035595號,eye_formal_395,unknown_substance_role,PROPARACAINE HCL,proparacaine hcl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0049,衛署藥輸字第023513號,eye_formal_407,unknown_substance_role,AMINOETHYLSULFONIC ACID,aminoethylsulfonic acid,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0050,衛署藥製字第048314號,eye_formal_492,unknown_substance_role,LOMEFLOXACIN HYDROCHLORIDE,lomefloxacin hydrochloride,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_leaflet_0051,衛署藥輸字第024587號,eye_formal_058,leaflet_or_optional_data_unavailable,leaflet_unavailable: no valid official leaflet attachment/PDF evidence available in existing cache; core data retained from structured CSV,,enrichment review,leaflet_unavailable: no valid official leaflet attachment/PDF evidence available in existing cache; core data retained from structured CSV
review_leaflet_0052,衛署藥輸字第018776號,eye_formal_061,leaflet_or_optional_data_unavailable,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.,,enrichment review,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.
review_leaflet_0053,衛署藥製字第033301號,eye_formal_267,leaflet_or_optional_data_unavailable,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.,,enrichment review,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.
