review_id,license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,ambiguity_reason,recommended_action,source_id,verified_at
review_0008,衛署藥製字第055246號,立久因噴霧劑 10%,Donku Spray 10%,噴霧劑,詳見仿單,dosage_form_spray_signal,spray_site_not_confirmed,Review official TFDA route/leaflet manually; do not include until local site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0025,衛署藥輸字第022329號,苦息樂卡因唧筒式噴霧劑１０％,XYLOCAINE SPRAY (PUMP SPRAY)10%,噴霧劑,,dosage_form_spray_signal,spray_site_not_confirmed,Review official TFDA route/leaflet manually; do not include until local site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0074,衛署藥製字第046747號,立麻卡因噴霧劑10%,LIDO-ANES SPRAY 10%,噴霧劑,,dosage_form_spray_signal,spray_site_not_confirmed,Review official TFDA route/leaflet manually; do not include until local site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0201,衛署藥製字第055411號,益麻噴霧劑 10%,Quicaine Spray 10%,噴霧劑,詳見說明書,dosage_form_spray_signal,spray_site_not_confirmed,Review official TFDA route/leaflet manually; do not include until local site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
review_0202,衛署藥製字第055413號,“福元”力麻噴霧劑 10%,Leema Spray 10%“F.Y.”,噴霧劑,詳見仿單,dosage_form_spray_signal,spray_site_not_confirmed,Review official TFDA route/leaflet manually; do not include until local site is confirmed.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
