license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署成製字第012669號,"""中美"" 鎮菌易 噴劑","ANTI-BACEASY SPRAY ""C.M.""",外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署成製字第012879號,防護大師乾洗手液,DR. PROTECTOR HAND SANITIZER SOLUTION,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049047號,”成大”療滅適噴劑 10 毫克,LAU ME S Spray 10 mg“Chen Ta”,外用噴液劑,詳見仿單。(1天1次：足癬、股癬、體癬；1天2次：汗斑。),dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第042767號,〝派頓〞舒暢噴劑,"SHU CHANG SPRAY ""PATRON""",外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥輸字第020042號,洛黴欣外用噴霧劑２％,LOMEXIN,噴霧劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第026417號,必達定傷口乾粉噴霧劑,Betadine Dry Powder Spray,氣化噴霧劑,詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第036032號,"""百克痛""舒筋痠痛噴劑",PAIKOTUNG SHUCHIN SUANTUNG SPRAY,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第036236號,摩撒肌噴劑,MOSAJI SPRAY,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第037659號,筋得舒外用噴液１％（引朵美酒辛）〝成大〞,"INDOPASS SOLUTION 1% ""CHEN TA"" (INDOMETHACIN)",外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第043125號,〝漁人〞舒膚可噴劑,"SHUFUKE SPRAY ""F.M""",外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
