product_id,substance_id,role,strength,strength_unit,source_id,verified_at
spray_0045,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0046,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0047,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0048,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0049,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0050,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0051,sub_butorphanol_tartrate,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0052,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0053,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0054,sub_xylometazoline_ipratropium,active,(eq. to Ipratropium Bromide.....0.6mg),MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0055,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0056,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0057,sub_esketamine_hcl,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0058,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0059,sub_oxymetazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0060,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0061,sub_naphazoline,active,0.5; 5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0062,sub_azelastine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0063,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0064,sub_oxymetazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0065,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0066,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0067,sub_beclomethasone,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0068,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0069,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0070,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0071,sub_naphazoline,active,0.5; 1,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0072,sub_beclomethasone,active,0.42,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0073,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0074,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0075,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0076,sub_benzydamine,active,,GM,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0077,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
