indication_id,indication_raw,indication_normalized,source_id,verified_at
ind_unknown,鼻塞、流鼻水、鼻竇炎、過敏性鼻炎,鼻塞、流鼻水、鼻竇炎、過敏性鼻炎,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_18,成人、青少年及二歲以上兒童之季節性或常年性過敏性鼻炎。亦用於治療18歲及以上成年人輕度到中度鼻息肉之相關症狀。,成人、青少年及二歲以上兒童之季節性或常年性過敏性鼻炎。亦用於治療18歲及以上成年人輕度到中度鼻息肉之相關症狀。,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_6_stereotypic_seizure_clusters,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_6,本品適用於治療6歲以上兒童及成人之中度至重度過敏性鼻炎的相關症狀。,本品適用於治療6歲以上兒童及成人之中度至重度過敏性鼻炎的相關症狀。,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_treatment_resistant_depression_trd_major_depressive_disorder_mdd,"１、治療成人的難治型憂鬱症(treatment-resistant depression，TRD)。
２、與口服抗憂鬱劑併用，治療患有重鬱症(major depressive disorder，MDD)且出現急性自殺想法或行為之成人的憂鬱症狀。",１、治療成人的難治型憂鬱症(treatment-resistant depression，trd)。 ２、與口服抗憂鬱劑併用，治療患有重鬱症(major depressive disorder，mdd)且出現急性自殺想法或行為之成人的憂鬱症狀。,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_2,治療2歲以上的兒童、青少年與成人的過敏性鼻炎。,治療2歲以上的兒童、青少年與成人的過敏性鼻炎。,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
ind_鼻炎_副鼻腔炎_過敏性鼻炎_鼻塞_流鼻水_鼻出血,鼻炎、副鼻腔炎、過敏性鼻炎（鼻塞、流鼻水）鼻出血,鼻炎、副鼻腔炎、過敏性鼻炎（鼻塞、流鼻水）鼻出血,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
