商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
拉坦類廿硝酯,Latanoprostene Bunod,衛部藥製字第061801號,原料藥,液劑,,瓶裝,抗青光眼,原料藥／非最終製劑,眼；青光眼
挫匹卡邁,Tropicamide,衛部藥輸字第026182號,原料藥,（粉）,,0.5公斤以上裝,散瞳劑。,原料藥／非最終製劑,散瞳
曲伏前列素,Travoprost,衛部藥輸字第027076號,原料藥,原料藥溶液劑,,0.1公斤以上裝,青光眼用藥,原料藥／非最終製劑,眼；眼用；青光眼
曲伏前列素(無異構體),Travoprost (isomer free),衛部藥製字第061426號,原料藥,原料藥溶液劑,,玻璃瓶裝,青光眼用藥。,原料藥／非最終製劑,眼；眼用；青光眼
梯莫洛縮蘋酸鹽,Timolol Maleate,衛部藥製字第062037號,原料藥,原料藥粉末,,,青光眼、高血壓及心絞痛用藥。,原料藥／非最終製劑,眼；青光眼
毛果芸香鹼鹽酸鹽,Pilocarpine Hydrochloride,衛部藥輸字第028390號,原料藥,（粉）,,0.5公斤以上裝,眼用膽鹼致效劑,原料藥／非最終製劑,眼；眼用
淨優明凍晶注射劑,Xeomin Powder for Solution for Injection,衛部菌疫輸字第000994號,菌 疫,凍晶注射劑,BOTULINUM TOXIN TYPE A;;BOTULINUM TOXIN TYPE A,玻璃小瓶裝;;盒裝;;玻璃小瓶裝,１. 皺眉紋。２. 魚尾紋。３. 水平抬頭紋。４. 眼瞼痙攣及半面痙攣。５. 頸部肌張力不全(痙攣性斜頸)。６. 上肢痙攣。７. 2歲以上病人慢性流涎。,原料藥／非最終製劑,眼
淨優明凍晶注射劑,Xeomin Powder for Solution for Injection,衛部菌疫輸字第000994號,菌 疫,凍晶注射劑,BOTULINUM TOXIN TYPE A;;BOTULINUM TOXIN TYPE A,玻璃小瓶裝;;盒裝;;玻璃小瓶裝,１. 皺眉紋。２. 魚尾紋。３. 水平抬頭紋。４. 眼瞼痙攣及半面痙攣。５. 頸部肌張力不全(痙攣性斜頸)。６. 上肢痙攣。７. 2歲以上病人慢性流涎。,原料藥／非最終製劑,眼
溴亞胺咪唑酒石酸鹽,Brimonidine Tartrate,衛部藥輸字第028137號,原料藥,（粉）,,０．５公斤以上,開放角隅青光眼或高眼壓,原料藥／非最終製劑,眼；青光眼
溴摩尼啶酒石酸,Brimonidine Tartrate,衛部藥輸字第027654號,原料藥,（粉）,,0.5公斤以上裝,開放角隅青光眼或高眼壓,原料藥／非最終製劑,眼；青光眼
