商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""愛爾康"" 均衡鹽溶液",BSS STERILE IRRIGATING SOLUTION,衛署藥輸字第022849號,製 劑,眼耳鼻喉用灌洗劑,POTASSIUM CHLORIDE;;SODIUM CITRATE (DIHYDRATE);;CALCIUM CHLORIDE (DIHYDRATE);;MAGNESIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM ACETATE (TRIHYDRATE),玻璃容器裝;;塑膠瓶裝;;盒裝;;塑膠軟袋裝,眼睛、耳朵、鼻子或喉嚨作各種外科手術過程中灌注之用。,非眼科外用最終劑型,眼
"""愛爾康"" 均衡鹽溶液",BSS STERILE IRRIGATING SOLUTION,衛署藥輸字第022849號,製 劑,眼耳鼻喉用灌洗劑,POTASSIUM CHLORIDE;;SODIUM CITRATE (DIHYDRATE);;CALCIUM CHLORIDE (DIHYDRATE);;MAGNESIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM ACETATE (TRIHYDRATE),玻璃容器裝;;塑膠瓶裝;;盒裝;;塑膠軟袋裝,眼睛、耳朵、鼻子或喉嚨作各種外科手術過程中灌注之用。,非眼科外用最終劑型,眼
"""愛爾康"" 增均衡鹽溶液",BSS PLUS,衛署藥輸字第022454號,製 劑,眼耳鼻喉用灌洗劑,SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE);;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CALCIUM CHLORIDE;;GLUTATHIONE DISULFIDE NONCOMPENDIAL;;MAGNESIUM CHLORIDE (HEXAHYDRATE);;DEXTROSE,瓶裝;;每組各附真空輸送器;;袋裝;;瓶裝,眼科外科手術過程中灌洗用。,非眼科外用最終劑型,眼；眼科
"""愛爾康"" 增均衡鹽溶液",BSS PLUS,衛署藥輸字第022454號,製 劑,眼耳鼻喉用灌洗劑,SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE);;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CALCIUM CHLORIDE;;GLUTATHIONE DISULFIDE NONCOMPENDIAL;;MAGNESIUM CHLORIDE (HEXAHYDRATE);;DEXTROSE,瓶裝;;每組各附真空輸送器;;袋裝;;瓶裝,眼科外科手術過程中灌洗用。,非眼科外用最終劑型,眼；眼科
"""愛爾康"" 增均衡鹽溶液",BSS PLUS,衛署藥輸字第022454號,製 劑,眼耳鼻喉用灌洗劑,SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE);;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CALCIUM CHLORIDE;;GLUTATHIONE DISULFIDE NONCOMPENDIAL;;MAGNESIUM CHLORIDE (HEXAHYDRATE);;DEXTROSE,瓶裝;;每組各附真空輸送器;;袋裝;;瓶裝,眼科外科手術過程中灌洗用。,非眼科外用最終劑型,眼；眼科
"""愛爾康"" 增均衡鹽溶液",BSS PLUS,衛署藥輸字第022454號,製 劑,眼耳鼻喉用灌洗劑,SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE);;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CALCIUM CHLORIDE;;GLUTATHIONE DISULFIDE NONCOMPENDIAL;;MAGNESIUM CHLORIDE (HEXAHYDRATE);;DEXTROSE,瓶裝;;每組各附真空輸送器;;袋裝;;瓶裝,眼科外科手術過程中灌洗用。,非眼科外用最終劑型,眼；眼科
"""應元"" 克敏錠","CARMINE TABLETS ""Y.Y.""",衛署藥製字第023715號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""應元"" 鼻舒通糖漿","BESUTON SYRUP ""Y.Y.""",衛署藥製字第030924號,製 劑,糖漿劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL,玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀〈流鼻水、打噴嚏、眼睛及喉部搔癢〉。,非眼科外用最終劑型,眼
"""應元""得美松注射液4毫克/毫升","DEXAMETHASONE INJECTION 4MG/ML ""Y.Y.""",衛署藥製字第024952號,製 劑,注射劑,DEXAMETHASONE PHOSPHATE (SODIUM),安瓿;;小瓶;;紙盒裝,僂麻質斯樣關節炎、僂麻質斯熱、過敏性疾患（支氣管氣喘、急性藥物過敏）結締組織炎、及關節炎樣疾患（腱炎、關節周圍炎、痛風）重症性皮膚疾患、過敏性及炎症性眼疾患,非眼科外用最終劑型,眼
"""成大"" 比他贊錠０．５毫克（貝皮質醇）","BETASON TABLETS 0.5MG ""CHEN TA"" (BETAMETHASONE)",衛署藥製字第012446號,製 劑,錠劑,BETAMETHASONE,塑膠瓶裝;;塑膠罐裝;;鋁箔盒裝,僂麻質性症狀、過敏性症狀、神經炎、濕疹、皮膚炎、乾癬、眼角膜炎、鼻炎、乾草熱、支氣管氣喘、痛風,非眼科外用最終劑型,眼；角膜炎
"""成大"" 治鼻通液","JEPITON SOLUTION ""CHEN TA""",衛署藥製字第047501號,製 劑,內服液劑,TRIPROLIDINE HCL;;PSEUDOEPHEDRINE HCL,塑膠瓶裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""成大""尼樂敏錠４毫克（縮蘋酸氯菲安明）","NIRAMINE TABLETS 4MG ""CHEN TA"" (CHLORGHENIRAMINE MALEATE)",衛署藥製字第006551號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""成大""樂敏錠５毫克","LOMIN TABLETS 5MG ""CHEN TA""",衛署藥製字第043218號,製 劑,錠劑,MEQUITAZINE;;MEQUITAZINE,鋁箔盒裝;;塑膠容器裝,過敏性鼻炎、乾草熱、蕁麻疹、溼疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""成大""通鼻康膠囊","TONPICON CAPSULES ""CHEN TA""",衛署藥製字第013557號,製 劑,膠囊劑,BELLADONNA EXTRACT;;PSEUDOEPHEDRINE HCL;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CHLORPHENIRAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""政德"" 康鼻寧錠","CONAMIN TABLETS ""GENTLE""",衛署藥製字第016969號,製 劑,錠劑,CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""政德""優可得懸濁注射液４０公絲/公撮（安西諾隆）","GENTLECORT INJECTION 40MG/ML (TRIAMCINOLONE)""GENTLE""",衛署藥製字第019042號,製 劑,滅菌懸液注射劑,TRIAMCINOLONE ACETONIDE,小瓶;;安瓿,風濕性關節炎、風濕熱、急、慢性關節炎、關節周圍炎、支氣管氣喘、濕疹、乾癬、火傷、膠原病、皮膚肌炎、過敏性疾患、炎症性眼疾患、皮膚炎,非眼科外用最終劑型,眼
"""新喜""壓作錠（乙醯偶氮胺）","AZOL TABLETS (ACETAZOLAMIDE) ""NCP""",衛署藥製字第023932號,製 劑,錠劑,ACETAZOLAMIDE,塑膠瓶裝,青光眼、充血性心不全之浮鍾,非眼科外用最終劑型,眼；青光眼
"""新喜""安敏錠2.5毫克 (鹽酸屈普利汀)","Anmin Tablets 2.5mg ""N.C.P."" (Triprolidine Hydrochloride)",衛署藥製字第025671號,製 劑,錠劑,TRIPROLIDINE HCL,塑膠瓶裝;;塑膠罐裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""新喜""得安眠膠囊25毫克","Deamine Capsules ""N.C.P""",衛部藥製字第059729號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""新喜""能鼻通錠","NASALCON TABLETS ""N.C.P.""",衛署藥製字第027060號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""新喜""過敏克糖衣錠","KABINCE S.C. TABLETS ""N.C.P.""",內衛藥製字第006187號,製 劑,糖衣錠,OROTIC ACID (VIT B13);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2),瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""明大"" 惠利敏錠","WELIMIN TABLETS ""M.T.""",衛署藥製字第016374號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""明大""清敏爽錠（縮蘋酸溴菲安明）","CHIN-MIN-SHON TABLETS ""M.T."" (BROMPHENIRAMINE MALEATE)",衛署藥製字第012786號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""明德"" 德善滅沙松錠","DEXAMETHASONE TABLETS ""MEIDER""",衛署藥製字第008928號,製 劑,錠劑,DEXAMETHASONE,塑膠瓶裝;;鋁箔盒裝,過敏性疾病、炎症性眼疾病、嚴重性皮膚疾病、急性傳染性疾患、嚴重創傷所引起休克。,非眼科外用最終劑型,眼
"""明德"" 畢可洛敏錠","BICOROMIN TABLETS ""MEIDER""",衛署藥製字第019102號,製 劑,錠劑,BUCLIZINE 2HCL;;NIACIN (NICOTINIC ACID),罐裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。預防或緩解動暈症（暈車、暈船、暈機）引起之頭暈、噁心、嘔吐、頭痛等症狀。,非眼科外用最終劑型,眼
"""明德"" 達麗痘瘡凝膠 1毫克/公克","DELPAC GEL 1MG/GM ""MEIDER"" (ADAPALENE)",衛署藥製字第047157號,製 劑,外用凝膠劑,ADAPALENE,塑膠瓶裝;;鋁管裝,治療尋常性痤瘡。,非眼科外用最終劑型,眼
"""晟德"" 利達敏寧糖漿1公絲/公撮 (樂雷塔定)","LEDAMIN SYRUP 1MG/ML ""CENTER"" (LORATADINE)",衛署藥製字第044970號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛的搔癢和灼熱感。,非眼科外用最終劑型,眼
"""晟德"" 勝克敏液1毫克/毫升","CETIRIZINE ORAL SOLUTION 1MG/ML ""CENTER""",衛署藥製字第044023號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),鋁箔袋裝;;塑膠瓶裝,季節性鼻炎、過敏性鼻炎、結膜炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
"""晟德"" 抗敏液","ORNADIN SOLUTION ""CENTER""",衛署藥製字第040834號,製 劑,內服液劑,CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""杏輝"" 安鼻寧錠","ANPIRIN TABLETS ""SINPHAR""",衛署藥製字第033532號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""杏輝"" 敏達糖漿","MINTAPP SYRUP ""SINPHAR""",衛署藥製字第021652號,製 劑,糖漿劑,LORATADINE,玻璃瓶裝;;塑膠瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
"""東洲"" 歐力克特肌肉注射液","ORICORT-IM INJECTION ""ORIENTAL""",衛署藥製字第003386號,製 劑,注射劑,TRIAMCINOLONE ACETONIDE,玻璃安瓿裝;;小瓶,風濕性關節炎、變形性關節炎、滑液囊炎、腱炎、皮膚炎、支氣管氣喘、天疱瘡、過敏性及發炎性眼科疾患、肉芽腫,非眼科外用最終劑型,眼；眼科
"""東洲"" 禮康明注射液４公絲/公撮","DECAMIN INJECTION 4MG/ML ""ORIENTAL""",衛署藥製字第004565號,製 劑,注射劑,DEXAMETHASONE SODIUM PHOSPHATE,安瓿瓶裝;;盒裝;;安瓿瓶裝;;支裝;;安瓿,僂麻質性疾患、愛迪生症、急性炎症性疾患、風濕樣關節炎、皮肌炎、散布性紅斑性狼瘡、結節性動脈外層炎過敏性疾患、過敏性及發炎性眼科疾患、及其他有關之副腎皮質荷爾蒙之適應症,非眼科外用最終劑型,眼；眼科
"""東洲""歐力得爽注射液","ORIDERON INJECTION ""ORIENTAL""",衛署藥製字第016589號,製 劑,注射劑,BETAMETHASONE (SODIUM PHOSPHATE),小瓶;;安瓿;;盒裝,僂麻質斯性疾患、愛迪生症、急性炎症性疾患、風濕性關節炎、皮肌炎、散佈狀紅斑性狼瘡、結節性動脈周圍炎、過敏性疾患過敏性及發炎性眼科疾患、濕疹、乾癬、皮膚炎、天？瘡、副腎皮質機能不全,非眼科外用最終劑型,眼；眼科
"""東洲""蓓娜眠糖漿",NEO-BENAMIN SYRUP,內衛藥製字第010883號,製 劑,糖漿劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""榮民"" 乙醯胺基硫唑嘧錠","ACETAZOLAMIDE TABLETS 250MG ""VPP""",衛署藥製字第003389號,製 劑,錠劑,ACETAZOLAMIDE,瓶裝;;鋁箔盒裝,青光眼及下列疾患之輔助治療：水腫、癲癇,非眼科外用最終劑型,眼；青光眼
"""榮民"" 鼻息敏錠",NOSEMIN TABLETS,衛署藥製字第026078號,製 劑,錠劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""正和""樂敏寧膠囊","LOMINLIN CAPSULES ""J.H.""",衛署藥製字第018695號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;OROTIC ACID (VIT B13),瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""正和""歐麗敏糖衣錠","Olimin S.C. Tablets ""C.H.""",衛署藥製字第024862號,製 劑,糖衣錠,OROTIC ACID (VIT B13);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CHLORPHENIRAMINE MALEATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""正和""貝那錠（溴敏）","NEO-ANTIHISTAMINE TABLETS ""J.H.""(CHLORPHENIRAMINE)",衛署藥製字第019251號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""正和""速克菌錠５００公絲（紅絲菌素丙脂月桂硫醯）","S.K.J.TABLETS 500MG ""C.H."" (ERYTHROMYCIN ESTOLATE)",衛署藥製字第040643號,製 劑,錠劑,ERYTHROMYCIN,塑膠瓶裝;;鋁箔盒裝,鏈球菌、葡萄球菌、肺炎雙球菌、肺炎黴漿菌、梅毒螺旋體、白喉桿菌、單核球增多性李斯特氏菌、白日咳球桿菌、勒津納瑞氏病、沙眼包衣體及其他具有感受性細菌所引起之感染,非眼科外用最終劑型,眼
"""正港龍虎園""力膚敏錠","""ZGLHY"" LIFUMIN TABLET",衛署藥製字第015063號,製 劑,錠劑,BETAMETHASONE,塑膠瓶裝,原發性及續發性腎上腺皮質素不足、類風濕性關節炎、急性和亞急性滑囊炎、腱鞘炎、全身紅斑性狼瘡、剝落性皮膚炎、牛皮癬、過敏性鼻炎、支氣管性氣喘、接觸性皮膚炎、過敏性眼疾、症狀性結節病。,非眼科外用最終劑型,眼
"""正港龍虎園""解毒寧膠囊",Detoxalin Capsules,衛署藥製字第047880號,製 劑,膠囊劑,OROTIC ACID (VIT B13);;CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZIN,鋁箔盒裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻涕、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""永信"" 別敏錠","PEMIN TABLETS ""YUNG SHIN""",衛署藥製字第011478號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""永信"" 鼻順通錠",BECAME TABLETS,衛署藥製字第029727號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""永信""信可得肌肉注射液","SHINCORT I.M. INJECTION ""YUNG SHIN""",衛署藥製字第011475號,製 劑,注射劑,TRIAMCINOLONE ACETONIDE,紙盒裝;;玻璃小瓶裝;;玻璃安瓿裝,風濕性關節炎、滑囊炎、過敏性皮膚炎、支氣管氣喘、過敏性鼻炎、天？瘡、過敏性及發炎性眼科疾患。,非眼科外用最終劑型,眼；眼科
"""永信""信可得關節注射液","SHINCORT INJECTION ""YUNG SHIN""",衛署藥製字第011476號,製 劑,注射劑,TRIAMCINOLONE ACETONIDE,小瓶;;瓶裝,風濕性關節炎、滑囊炎、過敏性皮膚炎、支氣管氣喘、過敏性鼻炎、天？瘡、過敏性及發炎性眼科疾患。,非眼科外用最終劑型,眼；眼科
"""永信""特佳注射液","DECAN INJECTION ""YUNG SHIN""",衛署藥製字第011477號,製 劑,注射劑,DEXAMETHASONE PHOSPHATE (SODIUM),安瓿;;小瓶,急、慢性風濕、風濕性關節炎、急性痛風性關節炎、肌炎、皮膚炎、濕疹、 癬症、過敏性皮膚炎、炎症性眼症。,非眼科外用最終劑型,眼
"""永信""特佳錠","DECAN TABLETS ""YUNG SHIN""",衛署藥製字第010168號,製 劑,錠劑,DEXAMETHASONE,瓶裝;;盒裝,急性風濕熱、風濕性關節炎、急性痛風性關節炎、支氣管氣喘血清病、散播性紅斑性狼瘡、結節性動脈周圍炎、過敏性皮膚炎、天皰瘡、關節囊炎、肌炎、纖維肌炎、炎症性眼疾,非眼科外用最終劑型,眼
"""永信""舒敏錠２公絲（右氯敏）","SOMIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""YUNG SHIN""",衛署藥製字第027569號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""永信""輔樂敏錠","BROMINE TABLETS ""YUNG SHIN""",衛署藥製字第009106號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""永信""適汎黴素膠囊","CEPHANMYCIN CAPSULES ""YUNG SHIN""",衛署藥製字第009453號,製 劑,膠囊劑,CEPHALEXIN,罐裝;;玻璃瓶裝;;鋁箔盒裝;;塑膠瓶裝,對本劑敏感性細菌所引起的下列感染症、細菌性心內膜炎、淺在性化膿性疾患、深在性化膿性疾患、下呼吸器感染症、性器感染症、尿路感染症、耳鼻科領域感染症、眼科領域感染症、其他：敗血症、產褥敗血症、褥瘡、腹膜炎、肋膜炎,非眼科外用最終劑型,眼；眼科
"""永勝 "" 鼻速通錠","BINODONE TABLETS ""EVEREST""",衛署藥製字第034813號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎 、枯草熱所引起之相關症狀（ 鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢。,非眼科外用最終劑型,眼
"""永勝"" 勝敏糖衣錠","CIMIN S.C.TABLETS ""EVEREST""",衛署藥製字第040172號,製 劑,糖衣錠,CARBINOXAMINE MALEATE;;CAFFEINE ANHYDROUS;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""永勝"" 喜洛緩釋微粒膠囊","Hiros S.R.M. Capsules ""EVEREST""",衛署藥製字第047953號,製 劑,緩釋微粒膠囊,PSEUDOEPHEDRINE HCL;;CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),鋁箔盒裝,治療季節型及常年型過敏性鼻炎的相關症狀，包括鼻黏膜充血、打噴嚏、流鼻水、鼻腔和眼睛搔癢。,非眼科外用最終劑型,眼
"""永勝""得克隆０．５公絲錠（迪皮質醇）","DECORON TABLETS 0.5MG (DEXAMETHASONE) ""EVEREST""",衛署藥製字第035370號,製 劑,錠劑,DEXAMETHASONE,塑膠瓶裝,關節炎、急性風濕熱、支氣管性氣喘、過敏性疾病、鞏皮症、過 敏性及炎症性眼科疾患。,非眼科外用最終劑型,眼；眼科
"""永勝""特釋敏錠４毫克（溴敏）","DIMETINE TABLETS 4MG (BROMPHENIRAMINE) ""EVEREST""",衛署藥製字第039688號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""永勝""肯得克錠４公絲（特安皮質醇）","KENCORT TABLETS 4MG (TRIAMCINOLONE) ""EVEREST""",衛署藥製字第039740號,製 劑,錠劑,TRIAMCINOLONE,塑膠瓶裝,副腎皮質機能不全症、膠原病、風濕症、風濕性關節炎、支氣管氣喘、血清病、關節炎、腰痛、神經痛、神經炎、血液疾患、濕疹、皮膚炎、炎症性眼疾患、火傷,非眼科外用最終劑型,眼
"""永吉""鼻必安錠","Bepeam Tablets ""Yung Chi""",衛部藥製字第060461號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚔、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""永豐""均衡洗眼液","Balanced eyewash ""Y.F.""",衛部藥製字第059201號,製 劑,眼用洗劑,SODIUM CHLORIDE,塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用
"""永豐""緩衝洗眼液","Buffered eyewash ""Y.F.""",衛部藥製字第059250號,製 劑,眼用洗劑,SODIUM CHLORIDE,塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用
"""汎生"" 莎星注射液10毫克/毫升","Xacine Injection 10mg/ml ""Panbiotic""",衛署藥製字第047753號,製 劑,注射劑,CIPROFLOXACIN,盒裝;;玻璃小瓶裝,對Ciprofloxacin有感受性細菌所引起呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染(包括淋病)、腹部感染(包括腸炎、膽囊炎、腹膜炎)、皮膚及軟組織感染、骨髓炎、關節感染等、菌血症。,非眼科外用最終劑型,眼
"""汎生""伯朗明錠（縮蘋酸溴菲安明）","BRAMIN TABLETS ""PANBIOTIC""(BROMPHENIRAMIN MALEATE)",衛署藥製字第022678號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""汎生""潔敏錠（延胡索酸可利汀）","ZEMIN TABLETS ""PANBIOTIC""(CLEMASTINE FUMARATE)",衛署藥製字第017860號,製 劑,錠劑,CLEMASTINE FUMARATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""派頓""安西諾隆錠","TRIAMCINOLONE TABLETS ""PATRON""",衛署藥製字第014697號,製 劑,錠劑,TRIAMCINOLONE,瓶裝,副腎皮質機能不全症、膠原病、風濕症、風濕性關節炎、支氣管氣喘、血清病、關節炎、腰痛、神經痛、神經炎、血液疾患、濕疹、皮膚炎、炎症性眼疾患、火傷,非眼科外用最終劑型,眼
