Indication,Product Count,Common Ingredients,Common Classes,Product Licenses,Summary
黴菌感染,530,Tolnaftate(80)；Betamethasone(79)；Terbinafine(79)；Econazole(78)；Triamcinolone(74)；Clotrimazole(67)；Gentamicin(58)；Ketoconazole(35)；Iodochlorhydroxyquin(33)；Isoconazole Nitrate(29)；Undecylenic Acid(21)；Ciclopirox(20),Antifungals(26)；Corticosteroids(11)；Antibiotics / antibacterials(7)；Antiseptics / disinfectants(7)；Anti-acne / retinoids / keratolytics(6)；Local anesthetics / antipruritics(5)；Protective / repair / astringent(4)；Topical anti-inflammatory / analgesic rubefacients(2)；Antiparasitics / scabicides / repellents(2),內衛成製字第000114號；內衛成製字第000541號；內衛藥製字第000813號；內衛藥製字第006279號；內衛藥製字第007484號；內衛藥製字第007527號；內衛藥製字第008737號；內衛藥製字第010232號；內衛藥製字第011349號；內衛藥製字第014535號；內衛藥製字第016564號；內衛藥製字第016638號；衛署成製字第000144號；衛署成製字第001372號；衛署成製字第002189號；衛署藥製字第005523號；衛署藥製字第007280號；衛署藥製字第008444號；衛署藥製字第010082號；衛署藥製字第010221號；衛署藥製字第010804號；衛署藥製字第010840號；衛署藥製字第011563號；衛署藥製字第012227號；衛署藥製字第012650號；衛署藥製字第014084號；衛署藥製字第014811號；衛署藥製字第015282號；衛署藥製字第015592號；衛署藥製字第016169號；衛署藥製字第016189號；衛署藥製字第016703號；衛署藥製字第016909號；衛署藥製字第016956號；衛署藥製字第018023號；衛署藥製字第018728號；衛署藥製字第019208號；衛署藥製字第019422號；衛署藥製字第019582號；衛署藥製字第019615號；衛署藥製字第019778號；衛署藥製字第020021號；衛署藥製字第020296號；衛署藥製字第020471號；衛署藥製字第020620號；衛署藥製字第020872號；衛署藥製字第020998號；衛署藥製字第021528號；衛署藥製字第021573號；衛署藥製字第021633號；衛署藥製字第021724號；衛署藥製字第021853號；衛署藥製字第021924號；衛署藥製字第022078號；衛署藥製字第022285號；衛署藥製字第022340號；衛署藥製字第022445號；衛署藥製字第022505號；衛署藥製字第022525號；衛署藥製字第022540號；衛署藥製字第022638號；衛署藥製字第022655號；衛署藥製字第022686號；衛署藥製字第022706號；衛署藥製字第022850號；衛署藥製字第022887號；衛署藥製字第023012號；衛署藥製字第023115號；衛署藥製字第023133號；衛署藥製字第023185號；衛署藥製字第023336號；衛署藥製字第023439號；衛署藥製字第023459號；衛署藥製字第023489號；衛署藥製字第023533號；衛署藥製字第023626號；衛署藥製字第023662號；衛署藥製字第023666號；衛署藥製字第023674號；衛署藥製字第023701號；衛署藥製字第023711號；衛署藥製字第023729號；衛署藥製字第023758號；衛署藥製字第024117號；衛署藥製字第024250號；衛署藥製字第024253號；衛署藥製字第024338號；衛署藥製字第024571號；衛署藥製字第024573號；衛署藥製字第024801號；衛署藥製字第024878號；衛署藥製字第025136號；衛署藥製字第025161號；衛署藥製字第025218號；衛署藥製字第025291號；衛署藥製字第025318號；衛署藥製字第025567號；衛署藥製字第025572號；衛署藥製字第025694號；衛署藥製字第025717號；衛署藥製字第025736號；衛署藥製字第025742號；衛署藥製字第025816號；衛署藥製字第025832號；衛署藥製字第025883號；衛署藥製字第025903號；衛署藥製字第026155號；衛署藥製字第026242號；衛署藥製字第026337號；衛署藥製字第026338號；衛署藥製字第026359號；衛署藥製字第026376號；衛署藥製字第026554號；衛署藥製字第026632號；衛署藥製字第026769號；衛署藥製字第026856號；衛署藥製字第026861號；衛署藥製字第026906號；衛署藥製字第026953號；衛署藥製字第026968號；衛署藥製字第026996號；衛署藥製字第027146號；衛署藥製字第027166號；衛署藥製字第027667號；衛署藥製字第027923號；衛署藥製字第027954號；衛署藥製字第027999號；衛署藥製字第028115號；衛署藥製字第028612號；衛署藥製字第028925號；衛署藥製字第029004號；衛署藥製字第029217號；衛署藥製字第029463號；衛署藥製字第029469號；衛署藥製字第029789號；衛署藥製字第029790號；衛署藥製字第029852號；衛署藥製字第030531號；衛署藥製字第030623號；衛署藥製字第030624號；衛署藥製字第030754號；衛署藥製字第030989號；衛署藥製字第031096號；衛署藥製字第031321號；衛署藥製字第031325號；衛署藥製字第031657號；衛署藥製字第031851號；衛署藥製字第032070號；衛署藥製字第032105號；衛署藥製字第032167號；衛署藥製字第032173號；衛署藥製字第032272號；衛署藥製字第032319號；衛署藥製字第032385號；衛署藥製字第032534號；衛署藥製字第032601號；衛署藥製字第032726號；衛署藥製字第032845號；衛署藥製字第032881號；衛署藥製字第032958號；衛署藥製字第032988號；衛署藥製字第033074號；衛署藥製字第033253號；衛署藥製字第033258號；衛署藥製字第033288號；衛署藥製字第033290號；衛署藥製字第033379號；衛署藥製字第033729號；衛署藥製字第033730號；衛署藥製字第033938號；衛署藥製字第034004號；衛署藥製字第034104號；衛署藥製字第034128號；衛署藥製字第034168號；衛署藥製字第034307號；衛署藥製字第034531號；衛署藥製字第034581號；衛署藥製字第034617號；衛署藥製字第034618號；衛署藥製字第034668號；衛署藥製字第034834號；衛署藥製字第034883號；衛署藥製字第034937號；衛署藥製字第035053號；衛署藥製字第035059號；衛署藥製字第035181號；衛署藥製字第035183號；衛署藥製字第035216號；衛署藥製字第035287號；衛署藥製字第035363號；衛署藥製字第035395號；衛署藥製字第035428號；衛署藥製字第035438號；衛署藥製字第035451號；衛署藥製字第035453號；衛署藥製字第035487號；衛署藥製字第035697號；衛署藥製字第035814號；衛署藥製字第035865號；衛署藥製字第035870號；衛署藥製字第035885號；衛署藥製字第035887號；衛署藥製字第035968號；衛署藥製字第036025號；衛署藥製字第036169號；衛署藥製字第036181號；衛署藥製字第036191號；衛署藥製字第036213號；衛署藥製字第036270號；衛署藥製字第036443號；衛署藥製字第036448號；衛署藥製字第036482號；衛署藥製字第036498號；衛署藥製字第036765號；衛署藥製字第036894號；衛署藥製字第036931號；衛署藥製字第036963號；衛署藥製字第037027號；衛署藥製字第037041號；衛署藥製字第037067號；衛署藥製字第037162號；衛署藥製字第037228號；衛署藥製字第037354號；衛署藥製字第037431號；衛署藥製字第037501號；衛署藥製字第037510號；衛署藥製字第037563號；衛署藥製字第037574號；衛署藥製字第037580號；衛署藥製字第037607號；衛署藥製字第037633號；衛署藥製字第037699號；衛署藥製字第037739號；衛署藥製字第038014號；衛署藥製字第038159號；衛署藥製字第038264號；衛署藥製字第038278號；衛署藥製字第038293號；衛署藥製字第038427號；衛署藥製字第038502號；衛署藥製字第038511號；衛署藥製字第038513號；衛署藥製字第038520號；衛署藥製字第038560號；衛署藥製字第038593號；衛署藥製字第038606號；衛署藥製字第038678號；衛署藥製字第038758號；衛署藥製字第038971號；衛署藥製字第038984號；衛署藥製字第039017號；衛署藥製字第039039號；衛署藥製字第039077號；衛署藥製字第039208號；衛署藥製字第039215號；衛署藥製字第039586號；衛署藥製字第039614號；衛署藥製字第039632號；衛署藥製字第039709號；衛署藥製字第039737號；衛署藥製字第040037號；衛署藥製字第040114號；衛署藥製字第040149號；衛署藥製字第040245號；衛署藥製字第040533號；衛署藥製字第040566號；衛署藥製字第040569號；衛署藥製字第040780號；衛署藥製字第040796號；衛署藥製字第040868號；衛署藥製字第041010號；衛署藥製字第041056號；衛署藥製字第041071號；衛署藥製字第041287號；衛署藥製字第041336號；衛署藥製字第041348號；衛署藥製字第041425號；衛署藥製字第041452號；衛署藥製字第041464號；衛署藥製字第041480號；衛署藥製字第041482號；衛署藥製字第041501號；衛署藥製字第041504號；衛署藥製字第041538號；衛署藥製字第041576號；衛署藥製字第041578號；衛署藥製字第041650號；衛署藥製字第041670號；衛署藥製字第041672號；衛署藥製字第041681號；衛署藥製字第041728號；衛署藥製字第041810號；衛署藥製字第041840號；衛署藥製字第041885號；衛署藥製字第041886號；衛署藥製字第041917號；衛署藥製字第041923號；衛署藥製字第041940號；衛署藥製字第041972號；衛署藥製字第041982號；衛署藥製字第041985號；衛署藥製字第042006號；衛署藥製字第042013號；衛署藥製字第042022號；衛署藥製字第042214號；衛署藥製字第042219號；衛署藥製字第042229號；衛署藥製字第042255號；衛署藥製字第042339號；衛署藥製字第042696號；衛署藥製字第042708號；衛署藥製字第042725號；衛署藥製字第042759號；衛署藥製字第042761號；衛署藥製字第042809號；衛署藥製字第043002號；衛署藥製字第043003號；衛署藥製字第043033號；衛署藥製字第043138號；衛署藥製字第043149號；衛署藥製字第043251號；衛署藥製字第043311號；衛署藥製字第043313號；衛署藥製字第043327號；衛署藥製字第043591號；衛署藥製字第043621號；衛署藥製字第043684號；衛署藥製字第043692號；衛署藥製字第043832號；衛署藥製字第043847號；衛署藥製字第043853號；衛署藥製字第043914號；衛署藥製字第043920號；衛署藥製字第043962號；衛署藥製字第044012號；衛署藥製字第044028號；衛署藥製字第044117號；衛署藥製字第044132號；衛署藥製字第044134號；衛署藥製字第044207號；衛署藥製字第044241號；衛署藥製字第044505號；衛署藥製字第044618號；衛署藥製字第044922號；衛署藥製字第045017號；衛署藥製字第045232號；衛署藥製字第045365號；衛署藥製字第045397號；衛署藥製字第045408號；衛署藥製字第045436號；衛署藥製字第045444號；衛署藥製字第045571號；衛署藥製字第045580號；衛署藥製字第045622號；衛署藥製字第045652號；衛署藥製字第045754號；衛署藥製字第045804號；衛署藥製字第045849號；衛署藥製字第045887號；衛署藥製字第045890號；衛署藥製字第045915號；衛署藥製字第045957號；衛署藥製字第046071號；衛署藥製字第046146號；衛署藥製字第046299號；衛署藥製字第046448號；衛署藥製字第046481號；衛署藥製字第046483號；衛署藥製字第046619號；衛署藥製字第046636號；衛署藥製字第046689號；衛署藥製字第046701號；衛署藥製字第047074號；衛署藥製字第047076號；衛署藥製字第047127號；衛署藥製字第047143號；衛署藥製字第047144號；衛署藥製字第047159號；衛署藥製字第047178號；衛署藥製字第047275號；衛署藥製字第047312號；衛署藥製字第047405號；衛署藥製字第047428號；衛署藥製字第047433號；衛署藥製字第047478號；衛署藥製字第047700號；衛署藥製字第047752號；衛署藥製字第047829號；衛署藥製字第047831號；衛署藥製字第047832號；衛署藥製字第047835號；衛署藥製字第047837號；衛署藥製字第047839號；衛署藥製字第047849號；衛署藥製字第047915號；衛署藥製字第047921號；衛署藥製字第047964號；衛署藥製字第047965號；衛署藥製字第047995號；衛署藥製字第047999號；衛署藥製字第048025號；衛署藥製字第048032號；衛署藥製字第048039號；衛署藥製字第048091號；衛署藥製字第048180號；衛署藥製字第048186號；衛署藥製字第048197號；衛署藥製字第048249號；衛署藥製字第048250號；衛署藥製字第048270號；衛署藥製字第048316號；衛署藥製字第048318號；衛署藥製字第048319號；衛署藥製字第048324號；衛署藥製字第048376號；衛署藥製字第048435號；衛署藥製字第048458號；衛署藥製字第048466號；衛署藥製字第048474號；衛署藥製字第048544號；衛署藥製字第048628號；衛署藥製字第048728號；衛署藥製字第048771號；衛署藥製字第048858號；衛署藥製字第048897號；衛署藥製字第048899號；衛署藥製字第049019號；衛署藥製字第049047號；衛署藥製字第049172號；衛署藥製字第049205號；衛署藥製字第049212號；衛署藥製字第049313號；衛署藥製字第049337號；衛署藥製字第049350號；衛署藥製字第049392號；衛署藥製字第049422號；衛署藥製字第049430號；衛署藥製字第049458號；衛署藥製字第049565號；衛署藥製字第049598號；衛署藥製字第049652號；衛署藥製字第049668號；衛署藥製字第049688號；衛署藥製字第049702號；衛署藥製字第049710號；衛署藥製字第049721號；衛署藥製字第049752號；衛署藥製字第049765號；衛署藥製字第049768號；衛署藥製字第049804號；衛署藥製字第049809號；衛署藥製字第049810號；衛署藥製字第049839號；衛署藥製字第049842號；衛署藥製字第049852號；衛署藥製字第049863號；衛署藥製字第049877號；衛署藥製字第049882號；衛署藥製字第049906號；衛署藥製字第049917號；衛署藥製字第049927號；衛署藥製字第049980號；衛署藥製字第049999號；衛署藥製字第050085號；衛署藥製字第050094號；衛署藥製字第050190號；衛署藥製字第050213號；衛署藥製字第050229號；衛署藥製字第050764號；衛署藥製字第051024號；衛署藥製字第051529號；衛署藥製字第052307號；衛署藥製字第052437號；衛署藥製字第052467號；衛署藥製字第052539號；衛署藥製字第052552號；衛署藥製字第052621號；衛署藥製字第054646號；衛署藥製字第054994號；衛署藥製字第055004號；衛署藥製字第055562號；衛署藥製字第055918號；衛署藥製字第055919號；衛署藥製字第055936號；衛署藥製字第056295號；衛署藥製字第056302號；衛署藥製字第056698號；衛署藥製字第056762號；衛署藥製字第057328號；衛署藥製字第057333號；衛署藥製字第057344號；衛署藥製字第057780號；衛署藥製字第057888號；衛署藥製字第057894號；衛署藥輸字第018684號；衛署藥輸字第020022號；衛署藥輸字第021369號；衛署藥輸字第021502號；衛署藥輸字第021515號；衛署藥輸字第022332號；衛署藥輸字第022938號；衛署藥輸字第024237號；衛署藥輸字第024470號；衛署藥輸字第024710號；衛部藥製字第058100號；衛部藥製字第058524號；衛部藥製字第058828號；衛部藥製字第058945號；衛部藥製字第058948號；衛部藥製字第059187號；衛部藥製字第059276號；衛部藥製字第059289號；衛部藥製字第059752號；衛部藥製字第059753號；衛部藥製字第059760號；衛部藥製字第059761號；衛部藥製字第059768號；衛部藥製字第060163號；衛部藥製字第060297號；衛部藥製字第060367號；衛部藥製字第060371號；衛部藥製字第060446號；衛部藥製字第060476號；衛部藥製字第060523號；衛部藥製字第061155號；衛部藥製字第061448號；衛部藥製字第061531號；衛部藥製字第061837號；衛部藥輸字第026215號；衛部藥輸字第027067號,黴菌感染 相關產品共 530 項。
濕疹,528,Betamethasone(106)；Triamcinolone(98)；Neomycin(72)；Hydrocortisone(72)；Gentamicin(62)；Econazole(62)；Clobetasol(51)；Diphenhydramine(45)；Prednisolone(38)；Fluocinolone(38)；Tolnaftate(36)；Iodochlorhydroxyquin(32),Corticosteroids(23)；Protective / repair / astringent(18)；Antibiotics / antibacterials(12)；Antiseptics / disinfectants(11)；Antifungals(10)；Anti-acne / retinoids / keratolytics(9)；Local anesthetics / antipruritics(9)；Topical anti-inflammatory / analgesic rubefacients(5)；Herbal / essential oils(5)；Vasoconstrictor / hemostatic / vascular(3),內衛成製字第000541號；內衛藥製字第000813號；內衛藥製字第001049號；內衛藥製字第001602號；內衛藥製字第002759號；內衛藥製字第003521號；內衛藥製字第004935號；內衛藥製字第005853號；內衛藥製字第006268號；內衛藥製字第008298號；內衛藥製字第009852號；內衛藥製字第010309號；內衛藥製字第010577號；內衛藥製字第010966號；內衛藥製字第010978號；內衛藥製字第011349號；內衛藥製字第011680號；內衛藥製字第012173號；內衛藥製字第013507號；內衛藥製字第014405號；內衛藥製字第016343號；內衛藥製字第016638號；衛署成製字第001372號；衛署成製字第003787號；衛署成製字第003905號；衛署藥製字第000543號；衛署藥製字第000605號；衛署藥製字第000764號；衛署藥製字第000905號；衛署藥製字第001772號；衛署藥製字第003373號；衛署藥製字第003682號；衛署藥製字第004454號；衛署藥製字第004845號；衛署藥製字第004928號；衛署藥製字第004973號；衛署藥製字第005961號；衛署藥製字第006660號；衛署藥製字第007167號；衛署藥製字第007350號；衛署藥製字第007443號；衛署藥製字第007728號；衛署藥製字第007762號；衛署藥製字第007821號；衛署藥製字第008026號；衛署藥製字第008582號；衛署藥製字第008678號；衛署藥製字第008924號；衛署藥製字第009087號；衛署藥製字第009715號；衛署藥製字第009957號；衛署藥製字第010082號；衛署藥製字第010221號；衛署藥製字第010381號；衛署藥製字第010687號；衛署藥製字第011081號；衛署藥製字第011097號；衛署藥製字第011202號；衛署藥製字第011564號；衛署藥製字第011652號；衛署藥製字第012001號；衛署藥製字第012227號；衛署藥製字第012292號；衛署藥製字第012534號；衛署藥製字第012677號；衛署藥製字第012745號；衛署藥製字第012886號；衛署藥製字第012901號；衛署藥製字第012999號；衛署藥製字第013105號；衛署藥製字第013395號；衛署藥製字第013520號；衛署藥製字第013538號；衛署藥製字第013642號；衛署藥製字第013647號；衛署藥製字第013782號；衛署藥製字第013894號；衛署藥製字第013923號；衛署藥製字第014096號；衛署藥製字第014118號；衛署藥製字第014244號；衛署藥製字第014390號；衛署藥製字第014601號；衛署藥製字第014915號；衛署藥製字第015080號；衛署藥製字第015214號；衛署藥製字第015414號；衛署藥製字第015462號；衛署藥製字第015840號；衛署藥製字第016705號；衛署藥製字第016833號；衛署藥製字第016862號；衛署藥製字第016901號；衛署藥製字第017014號；衛署藥製字第017435號；衛署藥製字第017634號；衛署藥製字第017795號；衛署藥製字第017797號；衛署藥製字第018053號；衛署藥製字第018063號；衛署藥製字第018088號；衛署藥製字第018157號；衛署藥製字第018298號；衛署藥製字第018322號；衛署藥製字第018514號；衛署藥製字第018598號；衛署藥製字第018798號；衛署藥製字第019088號；衛署藥製字第019277號；衛署藥製字第019309號；衛署藥製字第019362號；衛署藥製字第019441號；衛署藥製字第019582號；衛署藥製字第019615號；衛署藥製字第019905號；衛署藥製字第020102號；衛署藥製字第020357號；衛署藥製字第020608號；衛署藥製字第020620號；衛署藥製字第020673號；衛署藥製字第020751號；衛署藥製字第020998號；衛署藥製字第021472號；衛署藥製字第021518號；衛署藥製字第021664號；衛署藥製字第021845號；衛署藥製字第021880號；衛署藥製字第021924號；衛署藥製字第021998號；衛署藥製字第022505號；衛署藥製字第022540號；衛署藥製字第022640號；衛署藥製字第022826號；衛署藥製字第023000號；衛署藥製字第023012號；衛署藥製字第023015號；衛署藥製字第023131號；衛署藥製字第023133號；衛署藥製字第023185號；衛署藥製字第023365號；衛署藥製字第023459號；衛署藥製字第023626號；衛署藥製字第023631號；衛署藥製字第023662號；衛署藥製字第023674號；衛署藥製字第023687號；衛署藥製字第023711號；衛署藥製字第023729號；衛署藥製字第023834號；衛署藥製字第023979號；衛署藥製字第024137號；衛署藥製字第024170號；衛署藥製字第024225號；衛署藥製字第024245號；衛署藥製字第024250號；衛署藥製字第024253號；衛署藥製字第024307號；衛署藥製字第024338號；衛署藥製字第024351號；衛署藥製字第024519號；衛署藥製字第024693號；衛署藥製字第024878號；衛署藥製字第025236號；衛署藥製字第025291號；衛署藥製字第025573號；衛署藥製字第025717號；衛署藥製字第025742號；衛署藥製字第025816號；衛署藥製字第025903號；衛署藥製字第026155號；衛署藥製字第026337號；衛署藥製字第026338號；衛署藥製字第026359號；衛署藥製字第026554號；衛署藥製字第026589號；衛署藥製字第026636號；衛署藥製字第026684號；衛署藥製字第026734號；衛署藥製字第026769號；衛署藥製字第026792號；衛署藥製字第026856號；衛署藥製字第026858號；衛署藥製字第026861號；衛署藥製字第026906號；衛署藥製字第026968號；衛署藥製字第027146號；衛署藥製字第027166號；衛署藥製字第027348號；衛署藥製字第027373號；衛署藥製字第027386號；衛署藥製字第027519號；衛署藥製字第027667號；衛署藥製字第027699號；衛署藥製字第028115號；衛署藥製字第028254號；衛署藥製字第028288號；衛署藥製字第028546號；衛署藥製字第028578號；衛署藥製字第028802號；衛署藥製字第028924號；衛署藥製字第028925號；衛署藥製字第029004號；衛署藥製字第029173號；衛署藥製字第029182號；衛署藥製字第029217號；衛署藥製字第029279號；衛署藥製字第029354號；衛署藥製字第029439號；衛署藥製字第029532號；衛署藥製字第029574號；衛署藥製字第029722號；衛署藥製字第029739號；衛署藥製字第029825號；衛署藥製字第029852號；衛署藥製字第030465號；衛署藥製字第030509號；衛署藥製字第030733號；衛署藥製字第030754號；衛署藥製字第030782號；衛署藥製字第030783號；衛署藥製字第030838號；衛署藥製字第031063號；衛署藥製字第031086號；衛署藥製字第031306號；衛署藥製字第031446號；衛署藥製字第031657號；衛署藥製字第031851號；衛署藥製字第032006號；衛署藥製字第032070號；衛署藥製字第032072號；衛署藥製字第032105號；衛署藥製字第032170號；衛署藥製字第032173號；衛署藥製字第032264號；衛署藥製字第032272號；衛署藥製字第032288號；衛署藥製字第032419號；衛署藥製字第032434號；衛署藥製字第032505號；衛署藥製字第032534號；衛署藥製字第032562號；衛署藥製字第032601號；衛署藥製字第032726號；衛署藥製字第032740號；衛署藥製字第032812號；衛署藥製字第032882號；衛署藥製字第032897號；衛署藥製字第032898號；衛署藥製字第032938號；衛署藥製字第033006號；衛署藥製字第033074號；衛署藥製字第033226號；衛署藥製字第033248號；衛署藥製字第033250號；衛署藥製字第033253號；衛署藥製字第033288號；衛署藥製字第033377號；衛署藥製字第033381號；衛署藥製字第033729號；衛署藥製字第033865號；衛署藥製字第033887號；衛署藥製字第033930號；衛署藥製字第033943號；衛署藥製字第034107號；衛署藥製字第034124號；衛署藥製字第034306號；衛署藥製字第034307號；衛署藥製字第034353號；衛署藥製字第034372號；衛署藥製字第034821號；衛署藥製字第034911號；衛署藥製字第034912號；衛署藥製字第034915號；衛署藥製字第034966號；衛署藥製字第035055號；衛署藥製字第035188號；衛署藥製字第035287號；衛署藥製字第035364號；衛署藥製字第035471號；衛署藥製字第035680號；衛署藥製字第035788號；衛署藥製字第035883號；衛署藥製字第035888號；衛署藥製字第035968號；衛署藥製字第036031號；衛署藥製字第036174號；衛署藥製字第036207號；衛署藥製字第036235號；衛署藥製字第036265號；衛署藥製字第036270號；衛署藥製字第036321號；衛署藥製字第036413號；衛署藥製字第036445號；衛署藥製字第036449號；衛署藥製字第036451號；衛署藥製字第036499號；衛署藥製字第036582號；衛署藥製字第036752號；衛署藥製字第036771號；衛署藥製字第036894號；衛署藥製字第036939號；衛署藥製字第037042號；衛署藥製字第037069號；衛署藥製字第037078號；衛署藥製字第037096號；衛署藥製字第037128號；衛署藥製字第037138號；衛署藥製字第037187號；衛署藥製字第037226號；衛署藥製字第037387號；衛署藥製字第037431號；衛署藥製字第037432號；衛署藥製字第037542號；衛署藥製字第037633號；衛署藥製字第038011號；衛署藥製字第038047號；衛署藥製字第038049號；衛署藥製字第038141號；衛署藥製字第038190號；衛署藥製字第038264號；衛署藥製字第038278號；衛署藥製字第038297號；衛署藥製字第038334號；衛署藥製字第038417號；衛署藥製字第038524號；衛署藥製字第038678號；衛署藥製字第038712號；衛署藥製字第039001號；衛署藥製字第039088號；衛署藥製字第039208號；衛署藥製字第039544號；衛署藥製字第039648號；衛署藥製字第039941號；衛署藥製字第040037號；衛署藥製字第040149號；衛署藥製字第040475號；衛署藥製字第040543號；衛署藥製字第040778號；衛署藥製字第040780號；衛署藥製字第040796號；衛署藥製字第041071號；衛署藥製字第041072號；衛署藥製字第041206號；衛署藥製字第041287號；衛署藥製字第041336號；衛署藥製字第041425號；衛署藥製字第041437號；衛署藥製字第041464號；衛署藥製字第041537號；衛署藥製字第041570號；衛署藥製字第041633號；衛署藥製字第041656號；衛署藥製字第041661號；衛署藥製字第041685號；衛署藥製字第041725號；衛署藥製字第041756號；衛署藥製字第041797號；衛署藥製字第041801號；衛署藥製字第041808號；衛署藥製字第041892號；衛署藥製字第041923號；衛署藥製字第041979號；衛署藥製字第041980號；衛署藥製字第041982號；衛署藥製字第041983號；衛署藥製字第041990號；衛署藥製字第042080號；衛署藥製字第042214號；衛署藥製字第042245號；衛署藥製字第042269號；衛署藥製字第042278號；衛署藥製字第042438號；衛署藥製字第042453號；衛署藥製字第042504號；衛署藥製字第042671號；衛署藥製字第042696號；衛署藥製字第042760號；衛署藥製字第042761號；衛署藥製字第042804號；衛署藥製字第043002號；衛署藥製字第043027號；衛署藥製字第043110號；衛署藥製字第043112號；衛署藥製字第043120號；衛署藥製字第043284號；衛署藥製字第043289號；衛署藥製字第043313號；衛署藥製字第043332號；衛署藥製字第043693號；衛署藥製字第043936號；衛署藥製字第043962號；衛署藥製字第043981號；衛署藥製字第043983號；衛署藥製字第044077號；衛署藥製字第044089號；衛署藥製字第044134號；衛署藥製字第044141號；衛署藥製字第044367號；衛署藥製字第044377號；衛署藥製字第044394號；衛署藥製字第044616號；衛署藥製字第044919號；衛署藥製字第045038號；衛署藥製字第045105號；衛署藥製字第045205號；衛署藥製字第045228號；衛署藥製字第045232號；衛署藥製字第045289號；衛署藥製字第045337號；衛署藥製字第045340號；衛署藥製字第045349號；衛署藥製字第045361號；衛署藥製字第045388號；衛署藥製字第045408號；衛署藥製字第045556號；衛署藥製字第045619號；衛署藥製字第045673號；衛署藥製字第045751號；衛署藥製字第045782號；衛署藥製字第045804號；衛署藥製字第045851號；衛署藥製字第045887號；衛署藥製字第045915號；衛署藥製字第045917號；衛署藥製字第045919號；衛署藥製字第046485號；衛署藥製字第046998號；衛署藥製字第047074號；衛署藥製字第047847號；衛署藥製字第047920號；衛署藥製字第047999號；衛署藥製字第048023號；衛署藥製字第048025號；衛署藥製字第048085號；衛署藥製字第048091號；衛署藥製字第048166號；衛署藥製字第048178號；衛署藥製字第048215號；衛署藥製字第048242號；衛署藥製字第048358號；衛署藥製字第048449號；衛署藥製字第048582號；衛署藥製字第048692號；衛署藥製字第048746號；衛署藥製字第048897號；衛署藥製字第049063號；衛署藥製字第049169號；衛署藥製字第049172號；衛署藥製字第049312號；衛署藥製字第049418號；衛署藥製字第049529號；衛署藥製字第049603號；衛署藥製字第049688號；衛署藥製字第049721號；衛署藥製字第049731號；衛署藥製字第049793號；衛署藥製字第049853號；衛署藥製字第049864號；衛署藥製字第049883號；衛署藥製字第049907號；衛署藥製字第049999號；衛署藥製字第050012號；衛署藥製字第050031號；衛署藥製字第050035號；衛署藥製字第050078號；衛署藥製字第050128號；衛署藥製字第050141號；衛署藥製字第050170號；衛署藥製字第050249號；衛署藥製字第051713號；衛署藥製字第052539號；衛署藥製字第054981號；衛署藥製字第055404號；衛署藥製字第055425號；衛署藥製字第055898號；衛署藥製字第055899號；衛署藥製字第055940號；衛署藥製字第056302號；衛署藥製字第056644號；衛署藥製字第056788號；衛署藥製字第057113號；衛署藥製字第057332號；衛署藥製字第058023號；衛署藥輸字第016732號；衛署藥輸字第016738號；衛署藥輸字第021369號；衛署藥輸字第022648號；衛署藥輸字第022754號；衛署藥輸字第025753號；衛部藥製字第058026號；衛部藥製字第058142號；衛部藥製字第058209號；衛部藥製字第058221號；衛部藥製字第058276號；衛部藥製字第058309號；衛部藥製字第058524號；衛部藥製字第058563號；衛部藥製字第058610號；衛部藥製字第058828號；衛部藥製字第058944號；衛部藥製字第058945號；衛部藥製字第058948號；衛部藥製字第059064號；衛部藥製字第059264號；衛部藥製字第059413號；衛部藥製字第059718號；衛部藥製字第059752號；衛部藥製字第059753號；衛部藥製字第059760號；衛部藥製字第059761號；衛部藥製字第059768號；衛部藥製字第060209號；衛部藥製字第060214號；衛部藥製字第060367號；衛部藥製字第060439號；衛部藥製字第060476號；衛部藥製字第060509號；衛部藥製字第060943號；衛部藥製字第061084號；衛部藥製字第061448號；衛部藥製字第061531號；衛部藥製字第061794號；衛部藥製字第061837號；衛部藥輸字第026154號；衛部藥輸字第026205號；衛部藥輸字第026228號；衛部藥輸字第027169號；衛部藥輸字第027984號,濕疹 相關產品共 528 項。
