商品名,英文品名,許可證字號,許可證持有廠商,是否有效,藥品分類,分類依據,是否中藥,劑型,規格,包裝,適應症完整原文,適應症摘要,推定用途分類,全部成分原文,主要成分,防腐劑成分，若有,是否含防腐劑,是否為複方,資料來源,備註
愛明定點眼液0.15%,Almidine Ophthalmic Solution 0.15% (Brimonidine),衛署藥製字第056663號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,BRIMONIDINE TARTRATE,塑膠瓶裝,開放角隅青光眼或高眼壓。,青光眼；降眼壓,青光眼用藥,Each ml contains: BRIMONIDINE TARTRATE 1.500000 MG,Brimonidine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_8f97c28d-b866-4efe-9117-c3138890042a?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_4519f0bf-df0b-4e83-b759-8fb07d92cac5?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_501c89cd-317a-49a7-9015-811105df57cd?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/00ce94ba-ff46-4861-947d-7f6afd6192ab_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/00ce94ba-ff46-4861-947d-7f6afd6192ab_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/17df9374-93cc-4139-9bec-9cd8ed76bd63?c=2;https://mcp.fda.gov.tw/insert/lablefiles/58ae4771-b8b8-4514-81dd-c109c7bd6b18?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
愛舒壓點眼懸液劑,"AZOPT 10MG/ML EYE DROPS,SUSPENSION",衛署藥輸字第022934號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼懸液劑,BRINZOLAMIDE,無菌塑膠滴瓶裝,高眼壓症及隅角開放性青光眼之患者。,青光眼；降眼壓,青光眼用藥,EACH ML CONTAINS: BRINZOLAMIDE 10 10.000000 MG,Brinzolamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第022934號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/5e83b616-fb2e-4516-a6a8-39ad8901693d?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ec66d8ca-6639-48db-95e2-29944ff1ec5d_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
愛苜明點眼液0.2%,Almonine Ophthalmic Solution 0.2% (Brimonidine),衛署藥製字第056700號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,BRIMONIDINE TARTRATE,塑膠瓶裝,開放角隅青光眼或高眼壓。,青光眼；降眼壓,青光眼用藥,Each ml contains: BRIMONIDINE TARTRATE 2.000000 MG,Brimonidine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_698103f8-518d-4ee4-9984-ae7e0ede2df3?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_4c3cd12d-b41e-49bf-a83b-a304d99b1a80?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/8d60c864-2d8c-4be9-92ef-5e5ac9cb8fcf_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
提目洛點眼液０．５％,TIMOLOL-POS EYE DROPS 0.5%,衛署藥輸字第021269號,吉富貿易有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TIMOLOL MALEATE,瓶裝,青光眼,青光眼,青光眼用藥,EACH ML CONTAINS : TIMOLOL MALEATE (6.84) 5 MG,Timolol,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第021269號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/f070ab6e-babc-4cd1-b902-bee73bec3925?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
明目坦點眼液0.01%,Bimotan Ophthalmic Solution 0.01%,衛部藥製字第059369號,健亞生物科技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,BIMATOPROST,塑膠瓶裝,適用於降低慢性隅角開放性青光眼或高眼壓患者之眼內壓。,青光眼；降眼壓,青光眼用藥,Each ml contains: BIMATOPROST 0.100000 MG,Bimatoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第059369號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d62ca872-135b-4905-9ba8-42fa7b91bc8d_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d62ca872-135b-4905-9ba8-42fa7b91bc8d_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d62ca872-135b-4905-9ba8-42fa7b91bc8d_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d62ca872-135b-4905-9ba8-42fa7b91bc8d_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d62ca872-135b-4905-9ba8-42fa7b91bc8d_3?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
明目坦點眼液0.03%,Bimotan Ophthalmic Solution 0.03%,衛部藥製字第059377號,健亞生物科技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,BIMATOPROST,LDPE塑膠瓶裝,隅角開放性青光眼及高眼壓症。,青光眼；降眼壓,青光眼用藥,Each ml contains: BIMATOPROST 0.300000 MG,Bimatoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第059377號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/48f67079-af5d-43c2-b077-1b8b7980f48c_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
明眸0.25%點眼液,Comalol 0.25% Ophthalmic Solution,衛部藥製字第058342號,健亞生物科技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TIMOLOL MALEATE,塑膠瓶裝,青光眼、降低眼壓。,青光眼；降眼壓,青光眼用藥,Each ml contains: TIMOLOL MALEATE (eq. to Timolol 2.5mg) 3.400000 MG,Timolol,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_cf6e0096-ce9e-4b2d-9162-2a53c869c21c?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/16327776-ce81-4f51-9321-ef85b9050b37_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
易舒壓點眼液 0.003%,"IZBA 30 ug/ml Eye Drops, Solution",衛部藥輸字第026678號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,無菌眼用液劑,TRAVOPROST,PP 塑膠瓶裝 (polypropylene),適用於降低高眼壓或隅角開放性青光眼成年患者之眼壓,青光眼；降眼壓,青光眼用藥,Each ml contains: TRAVOPROST 0.030000 MG,Travoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第026678號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/4fcf38eb-3ef5-490b-8475-2a2c1be9019a?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3b42da8c-9d9b-4e66-9f9c-dc26ebb34d7d_3?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
樂坦諾點眼液,Latano Santen Eye Drops,衛部藥輸字第028400號,台灣參天製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,LATANOPROST,LDPE塑膠瓶裝,六歲以上兒童與成人之青光眼、高眼壓。,青光眼；降眼壓,青光眼用藥,Each mL contains: LATANOPROST 0.050000 MG,Latanoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第028400號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/9a8d3dec-bf08-4c31-b17f-ce7cbb72bbb1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/441bca58-a3fd-4797-9af2-a0552f42d437?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
樂波坦眼藥水,Lanprotan 50ug/ml (0.005%),衛部藥製字第058791號,健亞生物科技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,LATANOPROST,塑膠瓶裝,六歲以上兒童與成人之青光眼、高眼壓。,青光眼；降眼壓,青光眼用藥,Each ml contains: LATANOPROST 0.050000 MG,Latanoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第058791號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/e069bdaf-9050-43d0-8d31-a9802f41b0b7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/387c6e5c-79b9-4f0d-bfe8-15651e526e80?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
法爾坦眼藥水,Phartan Eye Drops,衛部藥輸字第028893號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,LATANOPROST,HDPE塑膠瓶裝,六歲以上兒童與成人之青光眼、高眼壓。,青光眼；降眼壓,青光眼用藥,Each mL Contains: LATANOPROST 0.050000 MG,Latanoprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第028893號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/c1fb77a6-8501-488f-b966-21f701489d04?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
泰福羅坦(單支裝)眼藥水0.0015%,TAFLOTAN-S ophthalmic solution,衛部藥輸字第026615號,台灣參天製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TAFLUPROST,塑膠瓶裝;;鋁箔袋盒裝,隅角開放性青光眼及高眼壓症。,青光眼；降眼壓,青光眼用藥,Each ml contains: TAFLUPROST 0.015000 MG,Tafluprost,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_5b9b0674-ba50-4767-be24-bf140325ca02?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/a00b2b94-e609-48a3-829d-60a6996156b0_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
