商品名,英文品名,許可證字號,許可證持有廠商,是否有效,藥品分類,分類依據,是否中藥,劑型,規格,包裝,適應症完整原文,適應症摘要,推定用途分類,全部成分原文,主要成分,防腐劑成分，若有,是否含防腐劑,是否為複方,資料來源,備註
"""派頓"" 克多樂眼藥水 0.5%","Ketoro Ophthalmic Solution 0.5% ""Patron""",衛署藥製字第049328號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each mL contains： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_2aa2e023-7bb2-48ac-9c8e-6f94e81f90c3?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/7edfc90d-a8c4-4a2f-bee3-bb3e2610f5ce_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""溫士頓"" 莫痛炎眼藥水０．１％（二克氯吩鈉）","VOLEN OPHTHALMIC SOLUTION 0.1% (DICLOFENAC SODIUM)""WINSTON""",衛署藥製字第043124號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DICLOFENAC SODIUM,瓶裝,白內障手術後之眼部發炎。,術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS: DICLOFENAC SODIUM 1.000000 MG,Diclofenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_a052f386-4af5-493b-b044-9c025fadc4df?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_1ee829d9-7db1-4299-9116-28c8c700ef93?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_44254f6c-b706-4152-a4d5-18ffa644db31?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ca117ac9-1bd2-4e59-967e-c43e0c414ffd?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
以利視點眼懸液劑0.3%,"ILEVRO 3 mg/mL Eye Drops, Suspension",衛部藥輸字第026743號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,無菌眼耳鼻用液劑,NEPAFENAC,LDPE塑膠瓶裝,用於成人患者預防及治療白內障手術相關的術後疼痛及發炎,術後發炎；消炎,NSAID 消炎型,Each ml contains: NEPAFENAC 3.000000 MG,Nepafenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第026743號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_5?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
克炎多樂點眼液 0.5%,Kirtolac Ophthalmic Solution 0.5%,衛署藥製字第048992號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由於季節性過敏性結膜炎引發之眼部搔癢，白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each ml contains： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_960d509f-0e30-4a7b-9c1a-113b418a301b?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/172493cd-7437-4d2e-ac8b-f1483f69ab2d_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
可特樂點眼液,Ketolaku Ophthalmic solution,衛部藥製字第061872號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,LDPE塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each ml contains: KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第061872號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/99551288-203d-4eef-b36f-a3a68be06785?c=2;https://mcp.fda.gov.tw/insert/lablefiles/99551288-203d-4eef-b36f-a3a68be06785?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
納衛視點眼懸液劑 0.1%,Nevanac Ophthalmic suspension 0.1%,衛署藥輸字第024795號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼懸液劑,NEPAFENAC,塑膠瓶裝,治療白內障手術引起之疼痛與發炎。,消炎,NSAID 消炎型,Each ml contains： NEPAFENAC 1.000000 MG,Nepafenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第024795號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d6327113-5609-42c1-a8b7-3c933782dbb3_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d6327113-5609-42c1-a8b7-3c933782dbb3_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a0b9a277-f817-4dd9-b0a6-6d5b13d5db92?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
舒腫眼藥水 0.5%,KELAC OPHTHALMIC SOLUTION 0.5%,衛署藥製字第046223號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_c17a3449-e256-451e-884e-9f8409b7be66?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_a7f9df21-366f-4f86-93af-e8e2f23aabeb?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_b92a3c0e-a30c-436b-a48e-6240a186c840?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_d54f2dbe-f957-4fd5-a323-b801e0766353?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/cf96db00-86db-4bfd-950f-e215cf807b64?c=2;https://mcp.fda.gov.tw/insert/lablefiles/97337b62-9376-4d10-89ac-725477f58384?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e702f569-dddc-4d10-8aa7-e9de584d6a1b_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
良元眼藥水０．１％〝應元〞,"LANYUNG EYE DROPS 0.1% ""Y.Y.""",衛署藥製字第044245號,應元化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DICLOFENAC SODIUM,塑膠瓶裝,白內障手術後之眼部發炎。,術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS: DICLOFENAC SODIUM 1 1.000000 MG,Diclofenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_53d6450f-8921-4683-80dd-f949c2bffea6?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/81d6c56d-9729-422f-a703-6f695d5c9afb_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""五福"" 潔聖舒眼液","JANSON WETTING SOLUTION ""WU FU""",衛署藥製字第037677號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,EDETATE DISODIUM DIHYDRATE (EQ TO DISODIUM EDETATE DIHYDRATE);;BORIC ACID;;SORBIC ACID,塑膠瓶裝,人工淚液。,潤滑保濕,人工淚液／潤滑型,EACH ML CONTAINS: BORIC ACID 2.320000 MG；EACH ML CONTAINS: EDETATE DISODIUM DIHYDRATE (EQ TO DISODIUM EDETATE DIHYDRATE) 1.000000 MG；EACH ML CONTAINS: SORBIC ACID 1.000000 MG,Boric Acid；Edetate Disodium Dihydrate (EQ TO Disodium Edetate Dihydrate)；Sorbic Acid,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_5d502a82-844c-420e-aa2a-7a921a45eaa0?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/ad151961-fffc-4797-bd2c-a6cdc4d0ee33_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""五福""益視點眼液","""Wu-Fu"" Yes Eye Drops",衛部藥製字第060417號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC),塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,Each mL contains: HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC) Hydroxypropylmethylcellulose (HPMC) 50cps 5.000000 MG,Hypromellose,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第060417號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/30274cac-0392-4b76-a920-c746f5525d38_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""信東"" 人工淚液",NATURAL TEARS,衛署藥製字第036633號,信東生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,SODIUM CHLORIDE;;HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC),鋁箔袋塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感，沖洗眼部。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS : HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC) 10.000000 MG；EACH ML CONTAINS : SODIUM CHLORIDE 7.150000 MG,Hypromellose；Sodium chloride,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第036633號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/8efe64ec-c4d2-484f-83ae-d382b64a8e8a_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8efe64ec-c4d2-484f-83ae-d382b64a8e8a_4?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""信東"" 舒眼人工淚液",FRESH TEARS,衛署藥製字第036634號,信東生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,POVIDONE (EQ TO POLYVINYL PYRROLIDONE)( EQ TO PVP ) ( EQ TO POLYVIDONE)(EQ TO POLYVINYLPYRROLIDONE);;POLYVINYL ALCOHOL,塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感；暫時緩解因配戴隱型眼鏡造成之不適。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS: POVIDONE (EQ TO POLYVINYL PYRROLIDONE)( EQ TO PVP ) ( EQ TO POLYVIDONE)(EQ TO POLYVINYLPYRROLIDONE) 6.000000 MG；EACH ML CONTAINS: POLYVINYL ALCOHOL 14.000000 MG,Povidone；Polyvinyl alcohol,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第036634號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_9?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc4e91d5-5228-4da7-9242-e14e2a6624f8_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""愛爾康""視舒坦康復力人工淚液點眼液",Systane Complete Lubricant Eye Drops,衛部藥輸字第028267號,瑞士商愛爾康大藥廠股份有限公司台灣分公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼乳劑,"PROPYLENE GLYCOL (EQ TO 1,2-DIHYDROXYPROPANE)(EQ TO 1,2-PROPANEDIOL)",LDPE塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,"Each mL contains: PROPYLENE GLYCOL (EQ TO 1,2-DIHYDROXYPROPANE)(EQ TO 1,2-PROPANEDIOL) 6.000000 MG",Propylene glycol,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第028267號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d70ba8df-410d-4431-b01a-8e6ec9f67405_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b97d2cb7-c913-43bc-9fae-0886b2d62806?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""愛爾康法國廠""淚然人工淚液點眼液",TEARS NATURALE&reg; FREE EYE DROPS,衛署藥輸字第024167號,瑞士商愛爾康大藥廠股份有限公司台灣分公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYPROMELLOSE;;DEXTRAN 70,塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。 暫時緩解因配戴隱形眼鏡造成之不適。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS： DEXTRAN 70 1.000000 MG；EACH ML CONTAINS： HYPROMELLOSE 3.000000 MG,Dextran 70；Hypromellose,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第024167號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2f862a8e-890f-4061-bcf2-c42ddd47774f?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""愛特淚""單劑量眼用滴劑0.32% Ｗ/Ｖ",ARTELAC SINGLE DOSE UNIT EYE DROPS,衛署藥輸字第023228號,武昌貿易有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC),塑膠瓶盒裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感、暫時緩解因配戴隱形眼鏡造成之不適。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS: HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC) 3.200000 MG,Hypromellose,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第023228號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/29b6a2b8-a8a5-48bb-946d-a1783835ef12_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""應元""潤眼眼藥水(人工淚液)","Relieve Eye Drops (artificial tears) ""Y.Y.""",衛部藥製字第059284號,應元化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYDROXYPROPYL METHYLCELLULOSE (EQ TO HPMC),塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,Each ml contains: HYDROXYPROPYL METHYLCELLULOSE (EQ TO HPMC) 5.000000 MG,Hypromellose,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第059284號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/4d9ab268-d1ff-4a87-bdd2-55aa253a3299_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4d9ab268-d1ff-4a87-bdd2-55aa253a3299_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4d9ab268-d1ff-4a87-bdd2-55aa253a3299_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4d9ab268-d1ff-4a87-bdd2-55aa253a3299_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""派滴兒點眼液","PATEAR EYE LOTIONS ""PATRON""",衛署藥製字第022473號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,SODIUM PHOSPHATE MONOBASIC (EQ TO MONOSODIUM PHOSPHATE)(EQ TO SODIUM DIHYDROGEN PHOSPHATE);;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;BENZALKONIUM CHLORIDE;;BORIC ACID;;SODIUM BORATE DECAHYDRATE (BORAX),塑膠瓶裝,眼睛乾澀、洗眼劑。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS: SODIUM CHLORIDE 3.2 3.200000 MG；EACH ML CONTAINS: POTASSIUM CHLORIDE 1.4 1.400000 MG；EACH ML CONTAINS: SODIUM PHOSPHATE MONOBASIC (EQ TO MONOSODIUM PHOSPHATE)(EQ TO SODIUM DIHYDROGEN PHOSPHATE) 0.4 0.400000 MG；EACH ML CONTAINS: BORIC ACID 9.0 9.000000 MG；EACH ML CONTAINS: SODIUM BORATE DECAHYDRATE (BORAX) 1.0 1.000000 MG；EACH ML CONTAINS: BENZALKONIUM CHLORIDE 0.1 0.100000 MG,Sodium chloride；Potassium Chloride；Sodium Phosphate Monobasic (EQ TO Monosodium Phosphate)(EQ TO Sodium Dihydrogen Phosphate)；Boric Acid；Sodium Borate Decahydrate (Borax)；Benzalkonium chloride,Benzalkonium chloride,是,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第022473號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/e6a4ab57-ce6f-4002-aa89-8d221f809fad?c=2;https://mcp.fda.gov.tw/insert/lablefiles/88b40011-fe65-4eb2-afdb-e13fc721c755?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82f73529-e066-433a-a6a6-7350462eff30_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82f73529-e066-433a-a6a6-7350462eff30_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82f73529-e066-433a-a6a6-7350462eff30_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82f73529-e066-433a-a6a6-7350462eff30_6?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""滴潤人工淚液","Mult-Moisturizing Tears ""Patron""",衛署藥製字第057227號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,POTASSIUM CHLORIDE;;SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE);;SODIUM CHLORIDE;;SODIUM CARBONATE ANHYDROUS,塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,Each ml contains: SODIUM CHLORIDE 5.500000 MG；Each ml contains: POTASSIUM CHLORIDE 1.600000 MG；Each ml contains: SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE) 3.400000 MG；Each ml contains: SODIUM CARBONATE ANHYDROUS 0.200000 MG,Sodium chloride；Potassium Chloride；Sodium Phosphate Dibasic (EQ TO Disod. Hydrogen Phosphate) (EQ TO Disodium Phosphate)；Sodium Carbonate Anhydrous,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_0b131cd4-e1e6-44e5-8ec6-1394951ccbbb?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/366afa03-5a21-40e7-b743-f8adf604d7e2_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/366afa03-5a21-40e7-b743-f8adf604d7e2_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/366afa03-5a21-40e7-b743-f8adf604d7e2_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""點亮點眼液","TEN-NON EYE DROPS ""PATRON""",衛署藥製字第043540號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC),塑膠瓶裝,暫時緩解因眼睛乾澀所引起之灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS: HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC) 8.0 8.000000 MG,Hypromellose,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_ed0422dd-63ec-47af-827d-74b93f41e903?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/35083d7a-c6a7-4416-9c96-2b74c4c6a0d3_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“愛爾康”淚然點眼液,TEARS NATURALE,衛署藥輸字第017091號,瑞士商愛爾康大藥廠股份有限公司台灣分公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DEXTRAN 70;;HYPROMELLOSE,塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,EACH ML CONTAINS: HYPROMELLOSE HYPROMELLOSE 3mg+Dextran 70 1mg 3.000000 MG；EACH ML CONTAINS: DEXTRAN 70 HYPROMELLOSE 3mg+Dextran 70 1mg 1.000000 MG,Hypromellose；Dextran 70,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第017091號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d350f6d9-d934-489d-a96d-a16a6d595103?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“愛爾康法國廠”視舒坦單支裝人工淚液點眼液,Systane Ultra Unit Dose Lubricant Eye Drops,衛署藥輸字第025042號,瑞士商愛爾康大藥廠股份有限公司台灣分公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,PROPYLENE GLYCOL;;POLYETHYLENE GLYCOL 400,塑膠瓶盒裝;;瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。 暫時緩解因配戴隱形眼鏡造成之不適。,眼睛乾澀,人工淚液／潤滑型,Each ml contains： POLYETHYLENE GLYCOL 400 4.000000 MG；Each ml contains： PROPYLENE GLYCOL 3.000000 MG,Polyethylene glycol；Propylene glycol,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第025042號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/4c4e99d3-66b2-41c5-80f9-5d5c1908a950_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4c4e99d3-66b2-41c5-80f9-5d5c1908a950_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/34deda1d-6bc8-44e6-89bf-e42e24cb2519?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“新一點靈”水潤人工淚液,She-Jun Artificial Tears “New I-Ten-Rin”,衛署藥製字第048752號,新一點靈企業股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,GLYCERIN (eq to GLYCEROL);;DEXTRAN 70,塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,Each mL contains： DEXTRAN 70 1.000000 MG；Each mL contains： GLYCERIN (eq to GLYCEROL) 10.000000 MG,Dextran 70；Glycerin (EQ TO Glycerol),,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第048752號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/7de8f044-1102-4873-ba11-419f2498ab69_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7de8f044-1102-4873-ba11-419f2498ab69_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7de8f044-1102-4873-ba11-419f2498ab69_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7de8f044-1102-4873-ba11-419f2498ab69_6?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
