ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0074,Monoglycol Salicylate,,IND0001,神經痛,2,2,0,脫酸寧涼藥布;脫酸寧溫藥布,衛署藥輸字第018626號;衛署藥輸字第018627號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0074,Monoglycol Salicylate,,IND0029,筋肉痛,3,3,0,好克斯貼布;脫酸寧涼藥布;脫酸寧溫藥布,衛署藥輸字第018626號;衛署藥輸字第018627號;衛署藥輸字第018709號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0074,Monoglycol Salicylate,,IND0143,撞傷,2,2,0,脫酸寧涼藥布;脫酸寧溫藥布,衛署藥輸字第018626號;衛署藥輸字第018627號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0074,Monoglycol Salicylate,,IND0031,挫傷,2,2,0,脫酸寧涼藥布;脫酸寧溫藥布,衛署藥輸字第018626號;衛署藥輸字第018627號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0005,Thymol,,IND0143,撞傷,1,1,0,脫酸寧涼藥布,衛署藥輸字第018627號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0006,Diphenhydramine,,IND0079,筋肉疲勞,1,1,0,好克斯貼布,衛署藥輸字第018709號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0006,Diphenhydramine,,IND0162,跌打損傷,1,1,0,好克斯貼布,衛署藥輸字第018709號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0006,Diphenhydramine,,IND0143,撞傷,1,1,0,痛貼貼貼片劑,衛署藥輸字第018861號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0044,Nonylic-Vanillylamide,,IND0103,肌肉酸痛,1,1,0,痛貼貼貼片劑,衛署藥輸字第018861號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0007,Methyl salicylate,,IND0143,撞傷,2,2,1,痛貼貼溫感貼片劑;痛貼貼貼片劑,衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0049,Tocopherol Acetate,,IND0103,肌肉酸痛,2,2,1,痛貼貼溫感貼片劑;痛貼貼貼片劑,衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
