license_no,chinese_name,english_name,indication_raw,indication_id,indication_standard,mapping_method,confidence,review_status,source_url,notes
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0014,拗傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0015,扭傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第003577號,柳酸絆創膏,SPEEL PLASTER,雞眼、疣贅、胼胝、角質剝離劑,IND0016,雞眼,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第003577號,柳酸絆創膏,SPEEL PLASTER,雞眼、疣贅、胼胝、角質剝離劑,IND0017,疣贅,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第003577號,柳酸絆創膏,SPEEL PLASTER,雞眼、疣贅、胼胝、角質剝離劑,IND0018,胼胝,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第003577號,柳酸絆創膏,SPEEL PLASTER,雞眼、疣贅、胼胝、角質剝離劑,IND0019,角質剝離劑,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0020,紅腫疼痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0021,退腫,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0022,新舊創傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0023,化膿消腫,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0024,神經抽痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛藥製字第015731號,化能膏,FUALON PLASTER,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,IND0025,腰骨痠痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,IND0026,關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,IND0003,肩膀酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,IND0028,筋骨疲勞,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0015,扭傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0029,筋肉痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0003,肩膀酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002108號,撒隆濕布,SALONS IP,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,IND0030,風濕痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
