license_no,chinese_name,english_name,dosage_form_raw,candidate_keyword,exclusion_reason,source_url,review_status,notes
衛署藥製字第035935號,"""得生""剋痛藥布（可多普洛菲）","KETO PAP  ""TEH SENG"" (KETOPROFEN)",水性藥膠布,藥膠布;膠布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第002000號,檸檬酸２－（二乙氨乙氧）－乙基－１－苯－１－環戊烷羧醯,"CARBETAPENTANE CITRATE ""TOHO""",原料藥結晶性粉末,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第013379號,得克嗽糖衣錠,TOCLASE SUGAR-COATED TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第015245號,恩咳明糖衣錠,ATOMIN S TABLETS,錠劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第018881號,萊特黴素膠囊５００公絲,RATTAPEN CAPSULES,膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第021198號,益脂可膠囊20毫克,LESCOL CAPSULES 20MG,膠囊劑,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第021199號,益脂可膠囊40毫克,LESCOL CAPSULES 40MG,膠囊劑,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥製字第016753號,"""新喜""諾克片",NOCOU TABLETS,錠劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥輸字第003548號,安咳聖,ANTASSINE S/C TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026190號,可通栓膜衣錠75毫克,Clopidogrel-Teva 75mg Film-coated Tablets,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
