license_no,chinese_name,english_name,dosage_form_raw,candidate_keyword,exclusion_reason,source_url,review_status,notes
衛署藥製字第002133號,克嗽鎮糖衣片,"COUSOTIN S.C. TABLETS ""C.C.P.""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第055428號,保絡得膜衣錠 75 毫克,Progrel F.C. Tablets 75 mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第024959號,保栓通膜衣錠 300 毫克,PLAVIX film-coated tablets 300mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第061990號,“松瑞”扼達碳盤尼鈉鹽,Ertapenem Sodium“SLC”,（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第004531號,檸檬酸（二乙氨乙氧）二基苯－環戊烷羧醯,"CARBETAPENTANE CITRATE ""BONAPACE""",（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第022932號,保栓通膜衣錠75毫克,PLAVIX FILM-COATED TABLETS 75MG,錠劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第023556號,益脂可長效緩釋膜衣錠80毫克,LESCOL XL FILM-COATED TABLETS 80MG,緩釋膜衣錠,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026252號,適克通膜衣錠75毫克,NOKLOT 75 (CLOPIDOGREL TABLETS USP 75MG),膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第027182號,雅吉通 膜衣錠75毫克,Clopidogrel EGIS,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第027413號,"""衛達""咳必坦錠３０公絲（咳貝坦）","CAPETAN TABLETS 30MG ""WEIDAR""(CARBETAPENTANE)",錠劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第032475號,咳能滅糖衣錠２５公絲（咳貝坦）,CARBEDANE S.C. TABLETS 25MG (CARBETAPENTANE),糖衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第048062號,普健通膜衣錠 75 毫克,Platon Film-Coated Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第057819號,可諾通膜衣錠75毫克,Colton Film-Coated Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第002725號,檸檬酸（二乙氨乙氧）乙基苯－環戊烷羧醯,"CARBETAPENTANE CITRATE ""HUTH""",（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第009640號,治咳爽糖衣錠,COUGHCOD TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第013752號,克利斯妥盼１００萬單位注射劑,"CRYSTAPEN 1,000,000 UNITS INJECTION",凍晶注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第017507號,克利斯得盼注射劑６公克,CRYSTAPEN 6GM INJECTION,凍晶注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第017508號,克利斯妥盼１００萬單位注射劑,"CRYSTAPEN 1,000,000 UNITS INJECTION",凍晶注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛部藥輸字第026585號,"""紐申達""緩釋錠 150毫克",Nucynta Extended Release Tablets 150 mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026586號,"""紐申達""緩釋錠 200毫克",Nucynta Extended Release Tablets 200 mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026587號,"""紐申達""緩釋錠 250毫克",Nucynta Extended Release Tablets 250 mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026588號,"""紐申達""膜衣錠 50毫克",Nucynta Tablets 50mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026589號,"""紐申達""膜衣錠 75毫克",Nucynta Tablets 75mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026590號,"""紐申達""膜衣錠 100毫克",Nucynta Tablets 100mg,膜衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第018946號,"""應元"" 得能速注射液（的剎美剎松）","DEXAMETHASONE INJECTION ""Y.Y.""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第049719號,“培力”宜栓清膜衣錠 75 毫克,Clopid F.C. Tablets 75 mg“P.L.”,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第018216號,咳別膜衣錠１１公絲,CARBETAPENTANE CITRATE TABLETS 11MG,膜衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第018217號,咳別膜衣錠３０公絲,CARBETAPENTANE CITRATE TABLETS 30MG,膜衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第022606號,雅瑞濃縮輸注液,AGGRASTAT CONCENTRATE FOR INFUSION,注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第023686號,鹽酸巴布妥,BAMBUTEROL HCL,（粉）,巴布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第024703號,達爾爽乳膏,DERXAM Cream,乳膏劑,貼布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第028841號,除凝樂膜衣錠90毫克,Ticagrelor Sandoz Film Coated Tablets 90mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第009984號,服舒化咳膠囊,"FUSUWAKO CAPSULES ""CURIE""",膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第010079號,嘉貝津錠,CARBETIN TABLETS,錠劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第010116號,"""景岳""咳必定膠囊30毫克","CARBETAPENTANE CAPSULES 30MG ""GENMONT""",膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第020874號,咳平達膜衣錠（咳貝坦）,"CARBETA F.C. TABLETS (CARBETAPENTANE) ""ROYAL""",膜衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第030709號,平咳錠（咳貝坦）,"PINCOU TABLETS (CARBETAPENTANE) ""TON SIN""",錠劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第035156號,咳貝坦膠囊３０公絲,"CARBETAN CAPSULES 30MG (CARBETAPENTANE) ""J.A.""",膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第040116號,"""瑞安"" 增骨密注射液１００國際單位/毫升（鮭魚抑鈣激素）","CALCININ INJECTION 100IU/ML (SALMON CALCITONIN) ""PURZER""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第052522號,〝元宙〞康達通膜衣錠,Canafi F.C. Tablets“Y.C.”,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第008696號,通氣性透明膠帶,YUTOKU TAPEPORE,衛生材料,TAPE,醫療器材或衛生材料,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第013146號,萊特黴素注射劑５００公絲,RATTAPEN INJECTIONS,乾粉注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛部藥輸字第026132號,福脂寧長效緩釋膜衣錠80毫克,Fluvastatin XL Prolonged Release Film-Coated Tablets 80mg,緩釋膜衣錠,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026147號,希靈脂緩釋錠80毫克,Fluvastatin XL Film-coated Tablets 80mg,緩釋膜衣錠,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第003954號,力卡因注射液,"LIDOCAINE HCL INJECTION ""PANBIOTIC""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第022032號,"""人生""咳安平糖衣錠","CAR-ANINE S.C. TABLETS ""JEN SHENG""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第036312號,"""永勝"" 止咳平膜衣錠30公絲(咳貝坦)","TOCOLIN F.C.T. 30MG (CARBETAPENTANE CITRATE) ""EVEREST""",膜衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第041382號,皮定軟膏０．５％（培尼皮質醇）,"PE DEN OINTMENT 0.5% ""J.C.S"" (PREDNISOLONE)",軟膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第057123號,"""聯邦""血優通膜衣錠75毫克","Sedogrel F.C. Tablets 75mg ""Union""",膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第006930號,鎮咳散,CARBETAPENTANE CITRATE POWDER,散劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第007007號,呼吸妥平定膠囊,HUSTOPENTANE CAPSULES,膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第019114號,史帝黴新溶液,STIEMYCIN SOLUTION,外用液劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥輸字第000947號,必乃膚通－Ｎ藥膏,BETNOVATE-N OINTMENT,軟膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥輸字第000948號,必乃膚通－Ｎ藥霜,BETNOVATE-N CREAM,乳膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第026335號,克栓寧膜衣錠,Torpido Film Coated Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第005316號,何必咳糖衣錠,"HOBICONGH S.C. TABLETS ""CURIE""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第005427號,鎮嗽糖衣錠１５公絲（咳貝坦）,"TIN SOU S.C. TABLETS 15MG(CARBETAPENTANE)""H.C.""",糖衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第007484號,恩咳明糖衣錠３０公絲,ATOMIN S TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第007537號,最利爽藥膠布,DRENISON TAPE,衛生材料,藥膠布;膠布;TAPE,醫療器材或衛生材料,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第009994號,膚瘡隱膠帶,FLUZON TAPE,衛生材料,TAPE,醫療器材或衛生材料,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第020133號,得克嗽糖衣錠,TOCLASE SUGAR COATED TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第025222號,可諾比樂膜衣錠,Clopilet,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第025691號,百無凝膜衣錠 90 毫克,BRILINTA Film-coated Tablets 90 mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第025694號,鹽酸巴布妥,Bambuterol HCl,（粉）,巴布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署菌疫輸字第000889號,服樂維靈流感疫苗,Fluvirin Suspension for injection,懸浮注射劑,TTS,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第026723號,"""長安""康咳糖漿",COTAHAN SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第012690號,感咳效糖漿,KANKERSHIAW SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第035787號,利感冒液,LEE COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第035949號,治感冒液,CHIN COMMON COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第050192號,“長安”咳通糖漿,Catong Syrup“C.A.”,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013445號,八仙感百安感冒液,BA SHIAN GAAN BAE AN COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013494號,"""恆安""康樂美健液","COLDBIGEN SOLUTION  ""HENG AN""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013924號,遠志感冒糖漿,"SENEGA COLD SYRUP ""MEIDER""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第020670號,敏諾注射液,"MINOGEN INJECTION ""YUNG SHIN""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第028980號,"""大豐"" 感咳效液",KANKERSHIAW SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第028997號,"""福元""健咳糖漿","GEACOU SYRUP""F.Y.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第037040號,咳得停糖漿〝中美〞,"CODETINE SOLUTION ""C.M.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥製字第012196號,袪痰汀Ｓ內服液,CHITANCIN-S,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第015012號,風引糖漿,FONING SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第029916號,佳生鎮傷風顆粒,GLISTIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥製字第013765號,咳能滅糖衣錠２５公絲（咳貝坦）,CARBEDANE S.C. TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署成製字第001773號,炎痛平軟膏,"ENTAPEN OINTMENT ""S.P.""",軟膏劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第022311號,克冒平糖衣錠,"COLDPIN SUGAR COATED TABLETS ""SHITEH""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第022327號,"""利達""麥克掃液","MAKASA SOLUTION ""LITA""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第038952號,"""美西""驅嗽安糖漿","KU SOU AN SYRUP ""M.S""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第039336號,"""中美""咳達樂糖漿","COTAL SYRUP ""C.M.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第004255號,擦而康水溶性軟膏,CALMURID HC CREAM,乳膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第015213號,幫咳利糖漿,PENDRINE SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第023024號,益汝膚注射液,"ILUFU INJECTION ""WINSTON""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031049號,咳佳捷糖漿,"COUGEL SYRUP ""H.S.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031076號,鎮傷風顆粒,GLISTIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031124號,全多祿大可感冒液,ZENTORU COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031251號,宜康佳糖漿,YI KANG JIA SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
